Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em MARÇO / 2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;00.360.305;CAIXA ECONOMICA FEDERAL; 105 ; 55.472.867 ; 97 ; 3.944.144 ; 7.593 ; 30.390.570 ; 3.276 ; 61.865.826 ; 11.071 ; 151.673.407 ; 178 ; 80.793.268 ; 182 ; 74.466.149 ; 360 ; 155.259.417 ; 11.431 ; 306.932.824 ;
48;03.609.817;BANCO CARGILL S.A.; 1 ; 4.000.000 ;;; 4 ; 2.083.962 ; 148 ; 75.911.137 ; 153 ; 81.995.098 ; 9 ; 120.000.000 ; 2 ; 100.000.000 ; 11 ; 220.000.000 ; 164 ; 301.995.098 ;
49;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 12.000.000 ; 6 ; 3.160.269 ; 121 ; 58.869.966 ; 322 ; 47.724.575 ; 450 ; 121.754.810 ; 36 ; 50.339.052 ; 29 ; 120.123.000 ; 65 ; 170.462.052 ; 515 ; 292.216.861 ;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 209 ; 5.943.549 ; 2.034 ; 45.760.680 ; 2.216 ; 47.945.612 ; 4.757 ; 62.504.488 ; 9.216 ; 162.154.329 ; 552 ; 82.225.028 ; 159 ; 27.815.812 ; 711 ; 110.040.841 ; 9.927 ; 272.195.169 ;
51;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 951 ; 43.644.176 ; 1.207 ; 62.581.461 ; 910 ; 18.562.920 ; 528 ; 36.663.019 ; 3.596 ; 161.451.576 ; 25 ; 53.430.103 ; 9 ; 19.540.797 ; 34 ; 72.970.900 ; 3.630 ; 234.422.477 ;
52;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 316 ; 73.417.246 ; 420 ; 38.844.172 ; 557 ; 11.143.523 ; 690 ; 12.484.576 ; 1.983 ; 135.889.517 ; 31 ; 24.922.246 ; 49 ; 58.569.747 ; 80 ; 83.491.994 ; 2.063 ; 219.381.511 ;
53;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 184 ; 3.804.973 ; 828 ; 27.902.951 ; 13.973 ; 28.650.176 ; 35.820 ; 51.717.872 ; 50.805 ; 112.075.972 ; 1.764 ; 66.659.714 ; 128 ; 19.407.430 ; 1.892 ; 86.067.144 ; 52.697 ; 198.143.116 ;
54;61.024.352;BANCO VOITER S.A.; 25 ; 52.503.466 ; 67 ; 34.631.906 ; 240 ; 31.542.972 ; 865 ; 49.345.155 ; 1.197 ; 168.023.498 ; 33 ; 11.979.162 ; 34 ; 16.986.445 ; 67 ; 28.965.607 ; 1.264 ; 196.989.105 ;
55;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 1 ; 93.255 ; 7 ; 189.188 ; 678 ; 36.452.749 ; 3.352 ; 85.029.230 ; 4.038 ; 121.764.422 ; 615 ; 56.586.757 ; 10 ; 7.359.892 ; 625 ; 63.946.649 ; 4.663 ; 185.711.071 ;
56;62.144.175;BANCO PINE S.A.; 22 ; 23.881.222 ; 110 ; 21.138.476 ; 17 ; 8.429.279 ; 207 ; 10.249.714 ; 356 ; 63.698.690 ; 13 ; 53.774.458 ; 12 ; 47.694.844 ; 25 ; 101.469.302 ; 381 ; 165.167.992 ;
