Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em ABRIL / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
60;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 7 ; 2.265.447 ; 6 ; 441.241 ; 16 ; 15.268.741 ; 37 ; 22.416.355 ; 66 ; 40.391.784 ; 5 ; 25.528.458 ; 8 ; 20.778.490 ; 13 ; 46.306.947 ; 79 ; 86.698.731 ;;;;
61;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 1 ; 5.000.000 ; 1 ; 7.408 ; 46 ; 17.796.739 ; 88 ; 23.459.529 ; 136 ; 46.263.676 ; 17 ; 19.422.074 ; 14 ; 18.421.628 ; 31 ; 37.843.702 ; 167 ; 84.107.378 ;;;;
62;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 64 ; 1.260.249 ; 891 ; 19.225.672 ; 836 ; 9.377.114 ; 3.414 ; 20.207.938 ; 5.205 ; 50.070.973 ; 797 ; 30.641.655 ; 18 ; 1.852.713 ; 815 ; 32.494.368 ; 6.020 ; 82.565.342 ;;;;
63;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 24 ; 481.898 ; 838 ; 22.737.982 ; 282 ; 2.318.733 ; 1.007 ; 10.171.468 ; 2.151 ; 35.710.081 ; 1.230 ; 36.208.657 ; 127 ; 6.096.774 ; 1.357 ; 42.305.432 ; 3.508 ; 78.015.512 ;;;;
64;60.889.128;BANCO SOFISA S.A.; 105 ; 27.591.621 ; 125 ; 6.410.193 ; 15 ; 1.123.945 ; 74 ; 1.046.802 ; 319 ; 36.172.561 ; 8 ; 4.081.897 ; 10 ; 35.552.314 ; 18 ; 39.634.211 ; 337 ; 75.806.773 ;;;;
65;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 13 ; 265.627 ; 181 ; 6.834.789 ; 65 ; 23.842.703 ; 332 ; 12.023.004 ; 591 ; 42.966.123 ; 152 ; 12.165.961 ; 242 ; 20.072.130 ; 394 ; 32.238.091 ; 985 ; 75.204.215 ;;;;
66;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 464 ; 27.337.115 ; 330 ; 9.168.738 ; 170 ; 8.149.829 ; 276 ; 9.242.447 ; 1.240 ; 53.898.128 ; 22 ; 1.963.724 ; 24 ; 19.278.510 ; 46 ; 21.242.234 ; 1.286 ; 75.140.363 ;;;;
67;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 20 ; 699.498 ; 283 ; 4.901.230 ; 745 ; 3.705.756 ; 2.490 ; 14.225.199 ; 3.538 ; 23.531.683 ; 1.652 ; 32.012.475 ; 385 ; 17.308.541 ; 2.037 ; 49.321.016 ; 5.575 ; 72.852.700 ;;;;
68;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 22 ; 19.229.952 ; 8 ; 2.216.022 ; 6 ; 6.950.912 ; 8 ; 7.693.928 ; 44 ; 36.090.813 ; 7 ; 9.920.507 ; 19 ; 26.180.073 ; 26 ; 36.100.580 ; 70 ; 72.191.394 ;;;;
69;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA; 1 ; 7.357 ; 38 ; 755.835 ; 883 ; 3.223.462 ; 1.636 ; 12.747.621 ; 2.558 ; 16.734.275 ; 1.297 ; 32.463.916 ; 65 ; 22.097.231 ; 1.362 ; 54.561.147 ; 3.920 ; 71.295.422 ;;;;
