Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em fevereiro / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
46;59.118.133;BANCO LUSO BRASILEIRO S.A.; 12 ; 3.132.945 ; 348 ; 61.166.806 ; 2 ; 29.963.547 ; 74 ; 3.286.542 ; 436 ; 97.549.839 ; 147 ; 34.532.726 ; 10 ; 3.186.050 ; 157 ; 37.718.775 ; 593 ; 135.268.615 ;;;;
47;72.760.713;RENOVA S.A. CORRETORA DE CÂMBIO; 3 ; 63.619 ; 42 ; 861.520 ; 176 ; 1.936.353 ; 874 ; 8.104.240 ; 1.095 ; 10.965.731 ; 604 ; 64.867.019 ; 134 ; 58.012.510 ; 738 ; 122.879.529 ; 1.833 ; 133.845.260 ;;;;
48;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 2 ; 142.120 ;;; 22 ; 18.067.659 ; 26 ; 1.084.863 ; 50 ; 19.294.641 ; 31 ; 46.473.936 ; 49 ; 67.459.342 ; 80 ; 113.933.278 ; 130 ; 133.227.919 ;;;;
49;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS; 4 ; 183.985 ; 809 ; 57.870.877 ; 298 ; 1.710.973 ; 2.274 ; 7.423.235 ; 3.385 ; 67.189.070 ; 619 ; 64.591.563 ; 36 ; 1.444.044 ; 655 ; 66.035.606 ; 4.040 ; 133.224.676 ;;;;
50;03.609.817;BANCO CARGILL S.A.; 13 ; 61.773.661 ; 9 ; 937.595 ; 2 ; 47.673 ; 10 ; 1.991.074 ; 34 ; 64.750.003 ; 2 ; 2.500.000 ; 6 ; 63.000.000 ; 8 ; 65.500.000 ; 42 ; 130.250.003 ;;;;
51;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 6 ; 138.307 ; 67 ; 1.241.216 ; 318 ; 2.776.769 ; 1.035 ; 16.633.531 ; 1.426 ; 20.789.823 ; 1.278 ; 58.496.863 ; 273 ; 43.499.612 ; 1.551 ; 101.996.475 ; 2.977 ; 122.786.298 ;;;;
52;62.144.175;BANCO PINE S.A.; 4 ; 11.797.098 ; 7 ; 1.463.939 ; 4 ; 30.002.112 ; 41 ; 21.646.284 ; 56 ; 64.909.433 ; 2 ; 25.000.000 ; 1 ; 30.000.000 ; 3 ; 55.000.000 ; 59 ; 119.909.433 ;;;;
53;58.616.418;BANCO FIBRA S.A.; 100 ; 6.502.940 ; 153 ; 12.183.443 ; 67 ; 30.528.329 ; 173 ; 10.524.320 ; 493 ; 59.739.032 ; 43 ; 31.518.857 ; 32 ; 26.540.830 ; 75 ; 58.059.686 ; 568 ; 117.798.719 ;;;;
54;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 1 ; 6.195 ; 8 ; 1.891.030 ; 37 ; 37.997.605 ; 37 ; 3.051.289 ; 83 ; 42.946.119 ; 34 ; 20.811.300 ; 25 ; 53.752.255 ; 59 ; 74.563.555 ; 142 ; 117.509.674 ;;;;
55;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 32 ; 604.235 ; 704 ; 19.832.442 ; 572 ; 7.261.658 ; 1.884 ; 37.948.283 ; 3.192 ; 65.646.618 ; 568 ; 49.895.517 ; 2 ; 119.427 ; 570 ; 50.014.944 ; 3.762 ; 115.661.561 ;;;;
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 21 ; 238.936 ; 108 ; 1.525.227 ; 1.103 ; 10.519.006 ; 4.729 ; 54.656.279 ; 5.961 ; 66.939.449 ; 654 ; 45.406.850 ; 6 ; 110.357 ; 660 ; 45.517.207 ; 6.621 ; 112.456.656 ;;;;
57;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 33 ; 1.206.938 ; 860 ; 36.014.390 ; 431 ; 12.461.138 ; 876 ; 13.823.929 ; 2.200 ; 63.506.395 ; 211 ; 41.182.124 ; 15 ; 5.045.565 ; 226 ; 46.227.689 ; 2.426 ; 109.734.084 ;;;;
