Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2016;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 907 ; 66.880.160 ; 924 ; 46.083.751 ; 285 ; 8.220.927 ; 1.095 ; 22.130.330 ; 3.211 ; 143.315.168 ; 33 ; 26.147.951 ; 25 ; 33.480.349 ; 58 ; 59.628.300 ; 3.269 ; 202.943.468 ;;;;
47;73.622.748;B & T ASSOCIADOS CORRETORA DE CÂMBIO LTDA.; 133 ; 2.882.282 ; 646 ; 16.485.308 ; 1.367 ; 14.379.693 ; 2.217 ; 48.824.186 ; 4.363 ; 82.571.469 ; 2.671 ; 83.272.132 ; 199 ; 35.144.397 ; 2.870 ; 118.416.529 ; 7.233 ; 200.987.998 ;;;;
48;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 18 ; 4.275.636 ; 253 ; 8.552.652 ; 111 ; 27.490.099 ; 454 ; 34.252.534 ; 836 ; 74.570.921 ; 387 ; 67.492.181 ; 1.194 ; 51.424.287 ; 1.581 ; 118.916.468 ; 2.417 ; 193.487.389 ;;;;
49;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 1 ; 1.188.368 ; 34 ; 10.408.049 ; 38 ; 82.689.362 ; 108 ; 56.331.636 ; 181 ; 150.617.414 ; 21 ; 11.240.000 ; 13 ; 28.255.926 ; 34 ; 39.495.926 ; 215 ; 190.113.340 ;;;;
50;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 7 ; 8.710.339 ; 5 ; 3.023.335 ; 11 ; 9.127.429 ; 81 ; 9.561.053 ; 104 ; 30.422.156 ; 18 ; 99.928.046 ; 16 ; 49.881.285 ; 34 ; 149.809.331 ; 138 ; 180.231.487 ;;;;
51;03.609.817;BANCO CARGILL S.A.; 18 ; 58.483.462 ; 3 ; 8.511.339 ; 4 ; 24.055.000 ; 20 ; 1.372.692 ; 45 ; 92.422.493 ; 2 ; 1.500.000 ; 6 ; 73.000.000 ; 8 ; 74.500.000 ; 53 ; 166.922.493 ;;;;
52;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 75 ; 513.267 ; 149 ; 1.212.890 ; 224 ; 1.726.157 ; 325 ; 69.006.215 ; 153 ; 68.311.185 ; 478 ; 137.317.400 ; 702 ; 139.043.557 ;;;;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 125 ; 2.319.881 ; 1.458 ; 31.128.942 ; 1.211 ; 11.785.317 ; 3.066 ; 23.278.155 ; 5.860 ; 68.512.296 ; 633 ; 48.449.616 ; 177 ; 8.125.703 ; 810 ; 56.575.319 ; 6.670 ; 125.087.615 ;;;;
54;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 78 ; 29.701.510 ; 69 ; 38.631.931 ; 147 ; 68.333.441 ; 22 ; 27.320.000 ; 24 ; 18.392.000 ; 46 ; 45.712.000 ; 193 ; 114.045.441 ;;;;
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 26 ; 438.778 ; 199 ; 2.869.244 ; 1.288 ; 8.224.293 ; 4.660 ; 53.167.463 ; 6.173 ; 64.699.778 ; 794 ; 47.518.288 ; 3 ; 146.495 ; 797 ; 47.664.782 ; 6.970 ; 112.364.561 ;;;;
