Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Mai/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
57;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 345 ; 7.123.609 ; 4.324 ; 97.687.994 ; 3.644 ; 46.899.675 ; 14.460 ; 101.762.395 ; 22.773 ; 253.473.673 ; 3.750 ; 156.082.936 ; 106 ; 10.932.166 ; 3.856 ; 167.015.102 ; 26.629 ; 420.488.774 ;
58;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 555 ; 685.901 ; 4.131 ; 16.569.775 ; 4.686 ; 17.255.677 ; 1.881 ; 206.572.579 ; 417 ; 190.706.524 ; 2.298 ; 397.279.103 ; 6.984 ; 414.534.780 ;
59;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 64 ; 28.178.400 ; 392 ; 84.907.234 ; 240 ; 72.748.109 ; 337 ; 32.490.775 ; 1.033 ; 218.324.519 ; 221 ; 101.667.930 ; 95 ; 85.732.997 ; 316 ; 187.400.927 ; 1.349 ; 405.725.446 ;
60;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 111 ; 2.230.507 ; 4.024 ; 114.352.661 ; 1.591 ; 16.324.303 ; 5.330 ; 52.417.067 ; 11.056 ; 185.324.538 ; 5.931 ; 175.755.096 ; 705 ; 27.511.773 ; 6.636 ; 203.266.869 ; 17.692 ; 388.591.407 ;
61;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 54 ; 1.497.374 ; 811 ; 32.560.995 ; 295 ; 119.757.267 ; 1.740 ; 50.409.653 ; 2.900 ; 204.225.288 ; 855 ; 71.623.049 ; 1.380 ; 107.656.046 ; 2.235 ; 179.279.095 ; 5.135 ; 383.504.384 ;
62;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 88 ; 3.476.807 ; 1.169 ; 19.767.569 ; 3.825 ; 21.324.298 ; 12.696 ; 64.949.523 ; 17.778 ; 109.518.197 ; 7.489 ; 166.030.638 ; 2.129 ; 106.094.021 ; 9.618 ; 272.124.659 ; 27.396 ; 381.642.856 ;
63;30.723.886;BANCO MODAL S.A.; 18 ; 14.285.374 ; 208 ; 18.829.385 ; 140 ; 147.032.767 ; 356 ; 130.437.917 ; 722 ; 310.585.442 ; 28 ; 29.567.059 ; 24 ; 37.652.474 ; 52 ; 67.219.533 ; 774 ; 377.804.975 ;
64;59.118.133;BANCO LUSO BRASILEIRO S.A.; 225 ; 54.542.660 ; 461 ; 57.196.421 ; 96 ; 18.493.862 ; 1.590 ; 52.761.555 ; 2.372 ; 182.994.498 ; 859 ; 114.369.830 ; 290 ; 77.456.853 ; 1.149 ; 191.826.684 ; 3.521 ; 374.821.181 ;
65;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 3.290 ; 104.999.090 ; 1.288 ; 46.878.591 ; 319 ; 3.994.530 ; 1.037 ; 7.389.838 ; 5.934 ; 163.262.049 ; 129 ; 78.092.882 ; 279 ; 132.184.856 ; 408 ; 210.277.739 ; 6.342 ; 373.539.788 ;
66;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 166 ; 81.763.741 ; 209 ; 22.430.213 ; 101 ; 30.667.095 ; 218 ; 20.010.824 ; 694 ; 154.871.874 ; 87 ; 76.928.690 ; 99 ; 124.124.441 ; 186 ; 201.053.131 ; 880 ; 355.925.005 ;
67;60.889.128;BANCO SOFISA S.A.; 541 ; 137.322.691 ; 431 ; 28.663.900 ; 67 ; 5.908.723 ; 458 ; 7.549.977 ; 1.497 ; 179.445.291 ; 45 ; 21.124.525 ; 56 ; 132.015.266 ; 101 ; 153.139.791 ; 1.598 ; 332.585.082 ;
