Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em DEZEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
48;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 9 ; 59.349.936 ; 19 ; 59.513.195 ; 28 ; 118.863.131 ; 3 ; 30.226.820 ; 3 ; 30.227.560 ; 6 ; 60.454.380 ; 34 ; 179.317.511 
49;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 3 ; 5.734.531 ; 10 ; 4.009.098 ; 8 ; 1.107.762 ; 20 ; 2.352.557 ; 41 ; 13.203.948 ; 21 ; 77.013.915 ; 21 ; 88.013.363 ; 42 ; 165.027.278 ; 83 ; 178.231.226 
50;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 11 ; 78.739 ; 27 ; 213.451 ; 838 ; 37.965.984 ; 7.209 ; 71.462.331 ; 8.085 ; 109.720.505 ; 363 ; 40.543.968 ; 436 ; 7.208.032 ; 799 ; 47.752.000 ; 8.884 ; 157.472.505 
51;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;; 1 ; 23.705.281 ; 1 ; 23.705.281 ;;; 1 ; 128.214.991 ; 1 ; 128.214.991 ; 2 ; 151.920.272 
52;03.609.817;BANCO CARGILL S.A.; 33 ; 21.861.556 ; 2 ; 1.581.058 ; 2 ; 5.010.937 ; 24 ; 2.256.680 ; 61 ; 30.710.231 ; 2 ; 100.000.000 ; 2 ; 20.000.000 ; 4 ; 120.000.000 ; 65 ; 150.710.231 
53;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 11 ; 3.491.075 ; 18 ; 2.106.946 ; 2.121 ; 65.090.319 ; 134 ; 4.009.442 ; 2.284 ; 74.697.782 ; 66 ; 4.104.344 ; 79 ; 66.569.100 ; 145 ; 70.673.445 ; 2.429 ; 145.371.227 
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 186 ; 4.213.824 ; 1.485 ; 25.383.988 ; 1.656 ; 15.549.281 ; 3.979 ; 28.265.766 ; 7.306 ; 73.412.859 ; 601 ; 51.980.917 ; 173 ; 18.001.877 ; 774 ; 69.982.794 ; 8.080 ; 143.395.653 
55;33.923.798;BANCO MÁXIMA S.A.; 10 ; 3.064.829 ; 98 ; 3.848.823 ; 359 ; 13.926.335 ; 7.143 ; 44.501.075 ; 7.610 ; 65.341.062 ; 31 ; 46.082.967 ; 11 ; 13.680.337 ; 42 ; 59.763.304 ; 7.652 ; 125.104.366 
56;07.679.404;BANCO TOPÁZIO S.A.; 8 ; 1.585.370 ; 5 ; 75.102 ; 54 ; 2.617.950 ; 235 ; 60.971.637 ; 302 ; 65.250.059 ; 119 ; 56.932.650 ; 1 ; 25.424 ; 120 ; 56.958.074 ; 422 ; 122.208.132 
57;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 42 ; 22.645.895 ; 311 ; 32.993.770 ; 86 ; 1.365.783 ; 75 ; 3.619.516 ; 514 ; 60.624.964 ; 96 ; 36.121.618 ; 34 ; 23.867.740 ; 130 ; 59.989.358 ; 644 ; 120.614.322 
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 850 ; 9.840.203 ; 3.609 ; 55.662.321 ; 4.459 ; 65.502.523 ; 3.125 ; 47.470.139 ; 15 ; 126.663 ; 3.140 ; 47.596.803 ; 7.599 ; 113.099.326 
59;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 570 ; 33.950.053 ; 389 ; 11.755.790 ; 271 ; 7.731.796 ; 199 ; 24.291.004 ; 1.429 ; 77.728.642 ; 17 ; 17.013.274 ; 17 ; 17.679.048 ; 34 ; 34.692.322 ; 1.463 ; 112.420.964 
