Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
94;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;8;3.238.999;31;1.868.756;22;2.140.573;57;747.893;118;7.996.221;9;1.998.324;8;4.743.911;17;6.742.235;135;14.738.456
95;94.968.518;DECYSEO CORRETORA DE CAMBIO LTDA.;13;776.098;44;3.291.587;107;3.594.067;147;1.940.116;311;9.601.867;106;2.585.594;46;1.725.669;152;4.311.264;463;13.913.131
96;00.795.423;BANCO SEMEAR S.A.;;;44;2.080.149;6;270.045;17;4.349.567;67;6.699.761;32;6.579.190;7;365.229;39;6.944.419;106;13.644.180
97;14.190.547;CAMBIONET CORRETORA DE CÂMBIO LTDA.;32;623.573;79;999.754;208;1.850.507;696;3.722.270;1.015;7.196.103;536;4.296.754;77;2.034.731;613;6.331.485;1.628;13.527.588
98;71.677.850;FRENTE CORRETORA DE CÂMBIO LTDA.;8;313.109;115;1.734.641;107;1.487.288;708;2.818.758;938;6.353.796;349;5.035.666;39;2.022.430;388;7.058.096;1.326;13.411.893
99;19.086.249;EXECUTIVE CORRETORA DE CÂMBIO LTDA.;18;424.235;100;3.062.613;244;1.972.797;323;1.630.045;685;7.089.690;279;4.283.606;116;1.943.464;395;6.227.069;1.080;13.316.760
100;12.392.983;MIRAE ASSET WEALTH MANAGEMENT (BRAZIL) CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.;7;193.891;173;5.551.131;52;328.395;35;115.034;267;6.188.451;151;5.708.271;62;564.391;213;6.272.662;480;12.461.114
101;6.373.777;BOA VIAGEM SOCIEDADE CORRETORA DE CÂMBIO LTDA.;17;272.022;86;2.220.242;194;1.037.929;515;2.106.479;812;5.636.671;434;4.768.728;56;1.711.703;490;6.480.431;1.302;12.117.103
102;4.913.711;BANCO DO ESTADO DO PARÁ S.A.;90;5.913.455;;;24;42.360;35;99.650;149;6.055.465;;;37;6.019.000;37;6.019.000;186;12.074.465
103;34.666.362;MONOPÓLIO CORRETORA DE CÂMBIO LTDA.;;;;;737;252.950;371;268.479;1.108;521.429;48;5.399.905;44;5.382.799;92;10.782.704;1.200;11.304.133
104;33.851.064;DILLON S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS;7;39.976;24;477.842;94;3.085.034;223;1.824.782;348;5.427.634;253;1.568.373;39;2.490.640;292;4.059.013;640;9.486.647
105;80.202.872;CORREPARTI CORRETORA DE CAMBIO LTDA;11;376.442;124;3.384.545;13;336.690;44;268.039;192;4.365.716;143;3.750.806;18;811.673;161;4.562.479;353;8.928.195
106;27.842.177;IB CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;17;253.924;62;1.048.938;61;2.176.270;185;983.168;325;4.462.301;157;1.571.252;99;1.952.218;256;3.523.470;581;7.985.771
107;17.508.380;INVEST CORRETORA DE CÂMBIO LTDA.;;;;;190;1.286.566;203;1.853.277;393;3.139.843;128;2.631.670;26;2.023.848;154;4.655.518;547;7.795.361
108;18.287.740;CONECTA CORRETORA DE CÂMBIO LTDA.;34;1.003.555;31;590.527;121;1.141.489;226;1.537.319;412;4.272.889;110;1.664.622;40;1.677.374;150;3.341.996;562;7.614.885
109;4.684.647;ARC CORRETORA DE CAMBIO, ASSOCIADOS GOUVEIA, CAMPEDELLI S.A.;111;390.239;23;255.538;222;3.192.146;172;844.437;528;4.682.361;24;124.857;53;2.605.125;77;2.729.982;605;7.412.344
110;17.904.906;BRX CORRETORA DE CÂMBIO LTDA.;1;29.165;;;93;309.023;268;1.457.947;362;1.796.134;230;3.184.882;67;2.074.451;297;5.259.333;659;7.055.468
