Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
56;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 2.529 ; 550.876.479 ; 2.823 ; 244.478.731 ; 4.439 ; 150.723.574 ; 5.362 ; 139.643.905 ; 15.153 ; 1.085.722.689 ; 238 ; 192.491.482 ; 420 ; 500.901.852 ; 658 ; 693.393.334 ; 15.811 ; 1.779.116.023 ;;
57;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 28 ; 271.731.026 ; 59 ; 8.096.110 ; 128 ; 246.337.289 ; 206 ; 325.977.606 ; 421 ; 852.142.031 ; 42 ; 271.593.492 ; 68 ; 455.813.661 ; 110 ; 727.407.153 ; 531 ; 1.579.549.184 ;;
58;61.024.352;BANCO VOITER S.A.; 126 ; 110.951.168 ; 786 ; 278.328.137 ; 1.369 ; 316.048.926 ; 6.874 ; 376.045.163 ; 9.155 ; 1.081.373.394 ; 435 ; 353.256.169 ; 406 ; 116.284.262 ; 841 ; 469.540.431 ; 9.996 ; 1.550.913.825 ;;
59;03.609.817;BANCO CARGILL S.A.; 39 ; 279.176.316 ; 3 ; 253.503 ; 49 ; 63.195.257 ; 463 ; 216.218.519 ; 554 ; 558.843.595 ; 20 ; 295.000.000 ; 13 ; 515.000.000 ; 33 ; 810.000.000 ; 587 ; 1.368.843.595 ;;
60;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 1.420 ; 33.494.765 ; 5.610 ; 178.879.786 ; 99.657 ; 208.848.993 ; 286.480 ; 362.293.221 ; 393.167 ; 783.516.765 ; 13.176 ; 441.747.308 ; 915 ; 142.895.234 ; 14.091 ; 584.642.542 ; 407.258 ; 1.368.159.307 ;;
61;45.246.410;BANCO GENIAL S.A.; 87 ; 5.541.940 ; 280 ; 33.191.631 ; 2.334 ; 358.296.671 ; 2.909 ; 576.837.507 ; 5.610 ; 973.867.749 ; 127 ; 305.156.480 ; 45 ; 57.881.580 ; 172 ; 363.038.060 ; 5.782 ; 1.336.905.809 ;;
62;00.416.968;BANCO INTER S.A.; 90 ; 14.765.870 ; 155 ; 3.741.508 ; 146.682 ; 544.782.538 ; 340.432 ; 432.608.178 ; 487.359 ; 995.898.094 ; 62 ; 36.891.953 ; 79 ; 154.168.963 ; 141 ; 191.060.916 ; 487.500 ; 1.186.959.010 ;;
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 900 ; 23.890.923 ; 6.602 ; 222.100.374 ; 11.603 ; 118.412.328 ; 30.614 ; 210.152.794 ; 49.719 ; 574.556.419 ; 5.523 ; 450.019.825 ; 589 ; 159.969.303 ; 6.112 ; 609.989.128 ; 55.831 ; 1.184.545.547 ;;
64;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; -   ; -   ; -   ; -   ; 1.081.718 ; 366.427.439 ; 1.839.070 ; 530.812.227 ; 2.920.788 ; 897.239.666 ; 837 ; 210.840.878 ; 1.449 ; 48.330.937 ; 2.286 ; 259.171.815 ; 2.923.074 ; 1.156.411.481 ;;
65;60.889.128;BANCO SOFISA S.A.; 1.629 ; 355.588.195 ; 594 ; 53.749.659 ; 139 ; 21.443.892 ; 874 ; 129.750.579 ; 3.236 ; 560.532.325 ; 73 ; 114.988.391 ; 140 ; 307.385.933 ; 213 ; 422.374.324 ; 3.449 ; 982.906.649 ;;
