Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Out/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
56;59.118.133;BANCO LUSO BRASILEIRO S.A.; 932 ; 204.342.873 ; 1.237 ; 159.625.992 ; 321 ; 133.333.542 ; 2.553 ; 126.356.896 ; 5.043 ; 623.659.304 ; 1.987 ; 239.310.061 ; 1.135 ; 291.008.001 ; 3.122 ; 530.318.061 ; 8.165 ; 1.153.977.365 ;
57;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.306 ; 30.900.363 ; 12.921 ; 265.428.950 ; 11.006 ; 110.285.661 ; 29.538 ; 233.905.276 ; 54.771 ; 640.520.250 ; 6.276 ; 432.849.073 ; 1.581 ; 74.514.150 ; 7.857 ; 507.363.223 ; 62.628 ; 1.147.883.473 ;
58;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 93 ; 1.051.774 ; 1.448 ; 22.228.205 ; 3.637 ; 37.946.074 ; 12.242 ; 169.343.764 ; 17.420 ; 230.569.817 ; 19.346 ; 515.976.786 ; 3.165 ; 363.056.405 ; 22.511 ; 879.033.192 ; 39.931 ; 1.109.603.008 ;
59;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 349 ; 6.445.080 ; 1.617 ; 19.181.815 ; 12.539 ; 86.579.698 ; 47.428 ; 528.826.562 ; 61.933 ; 641.033.155 ; 7.394 ; 456.681.419 ; 52 ; 1.708.515 ; 7.446 ; 458.389.933 ; 69.379 ; 1.099.423.088 ;
60;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 25 ; 232.547 ; 337 ; 3.161.756 ; 5.480 ; 210.701.495 ; 9.824 ; 483.112.131 ; 15.666 ; 697.207.929 ; 6.450 ; 312.302.267 ; 2.846 ; 33.810.133 ; 9.296 ; 346.112.399 ; 24.962 ; 1.043.320.328 ;
61;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 20 ; 123.982 ; 7.736 ; 87.546.631 ; 27.942 ; 504.257.215 ; 35.698 ; 591.927.827 ; 21.279 ; 421.891.123 ; 497 ; 6.180.308 ; 21.776 ; 428.071.431 ; 57.474 ; 1.019.999.259 ;
62;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 32 ; 45.796.162 ; 67 ; 23.441.663 ; 120 ; 77.915.735 ; 859 ; 52.583.402 ; 1.078 ; 199.736.962 ; 143 ; 376.373.002 ; 165 ; 392.848.660 ; 308 ; 769.221.662 ; 1.386 ; 968.958.625 ;
63;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 830 ; 14.892.551 ; 9.979 ; 222.985.405 ; 6.849 ; 101.240.036 ; 27.595 ; 233.464.601 ; 45.253 ; 572.582.594 ; 10.089 ; 361.781.025 ; 172 ; 21.566.696 ; 10.261 ; 383.347.721 ; 55.514 ; 955.930.315 ;
64;03.532.415;BANCO ABN AMRO S.A.; 137 ; 335.406.255 ; 7 ; 3.965.446 ; 74 ; 97.570.262 ; 167 ; 8.039.817 ; 385 ; 444.981.780 ; 27 ; 16.046.910 ; 163 ; 434.551.976 ; 190 ; 450.598.886 ; 575 ; 895.580.666 ;
65;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 10 ; 894.899.343 ; 2 ; 2 ; 12 ; 894.899.345 ; 12 ; 894.899.345 ;
