Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de Câmbio Contratado - Acumulado Jan-Jul/2016;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
54;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 256 ; 4.595.294 ; 1.010 ; 11.371.254 ; 8.747 ; 61.154.952 ; 32.656 ; 366.884.140 ; 42.669 ; 444.005.639 ; 5.063 ; 313.847.209 ; 44 ; 1.451.332 ; 5.107 ; 315.298.541 ; 47.776 ; 759.304.180 ;
55;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 20 ; 123.982 ; 5.431 ; 64.411.043 ; 17.717 ; 339.592.090 ; 23.168 ; 404.127.115 ; 13.787 ; 280.244.313 ; 343 ; 5.184.728 ; 14.130 ; 285.429.040 ; 37.298 ; 689.556.156 ;
56;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 6 ; 689.263.191 ;;; 6 ; 689.263.191 ; 6 ; 689.263.191 ;
57;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 18 ; 154.492 ; 235 ; 2.093.495 ; 3.701 ; 136.408.754 ; 6.742 ; 315.564.973 ; 10.696 ; 454.221.714 ; 4.435 ; 205.632.644 ; 1.743 ; 20.603.349 ; 6.178 ; 226.235.994 ; 16.874 ; 680.457.708 ;
58;03.532.415;BANCO ABN AMRO S.A.; 91 ; 225.176.053 ;;; 50 ; 91.681.169 ; 110 ; 6.615.234 ; 251 ; 323.472.456 ; 13 ; 9.816.300 ; 108 ; 317.331.000 ; 121 ; 327.147.300 ; 372 ; 650.619.756 ;
59;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 717 ; 866.596 ; 5.406 ; 22.155.826 ; 6.123 ; 23.022.422 ; 2.557 ; 321.315.534 ; 639 ; 300.073.062 ; 3.196 ; 621.388.595 ; 9.319 ; 644.411.018 ;
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 563 ; 9.595.342 ; 6.626 ; 150.312.982 ; 4.926 ; 68.618.947 ; 19.908 ; 158.553.456 ; 32.023 ; 387.080.727 ; 6.348 ; 243.832.689 ; 127 ; 13.301.626 ; 6.475 ; 257.134.315 ; 38.498 ; 644.215.042 ;
61;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 87 ; 2.256.320 ; 1.203 ; 46.455.347 ; 448 ; 168.962.866 ; 2.588 ; 98.840.093 ; 4.326 ; 316.514.625 ; 1.440 ; 149.515.725 ; 2.681 ; 174.434.256 ; 4.121 ; 323.949.981 ; 8.447 ; 640.464.607 ;
62;44.189.447;BANCO DE LA PROVINCIA DE BUENOS AIRES; 165 ; 44.809.875 ; 5 ; 459.759 ; 24 ; 319.002 ; 55 ; 605.178 ; 249 ; 46.193.814 ; 180 ; 268.990.021 ; 225 ; 308.335.000 ; 405 ; 577.325.021 ; 654 ; 623.518.835 ;
63;28.127.603;BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO; 4.669 ; 147.408.086 ; 1.843 ; 64.993.620 ; 452 ; 5.641.965 ; 1.570 ; 10.270.616 ; 8.534 ; 228.314.287 ; 187 ; 153.713.758 ; 387 ; 229.513.703 ; 574 ; 383.227.462 ; 9.108 ; 611.541.749 ;
64;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.; 19 ; 29.759.316 ; 43 ; 14.274.126 ; 82 ; 53.893.911 ; 592 ; 36.141.459 ; 736 ; 134.068.812 ; 94 ; 205.272.615 ; 113 ; 263.357.135 ; 207 ; 468.629.750 ; 943 ; 602.698.562 ;
65;59.118.133;BANCO LUSO BRASILEIRO S.A.; 481 ; 101.889.164 ; 782 ; 75.360.220 ; 150 ; 26.353.473 ; 1.983 ; 87.994.744 ; 3.396 ; 291.597.601 ; 1.313 ; 166.352.097 ; 582 ; 131.245.473 ; 1.895 ; 297.597.570 ; 5.291 ; 589.195.171 ;
66;12.586.596;MULTIMONEY CORRETORA DE CÂMBIO LTDA; 122 ; 4.760.564 ; 1.937 ; 35.233.305 ; 5.476 ; 27.537.565 ; 18.920 ; 104.740.192 ; 26.455 ; 172.271.626 ; 11.775 ; 258.237.909 ; 2.928 ; 150.426.895 ; 14.703 ; 408.664.804 ; 41.158 ; 580.936.430 ;
67;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 1 ; 5.000.000 ; 2 ; 14.666 ; 440 ; 57.861.135 ; 469 ; 81.819.763 ; 912 ; 144.695.563 ; 110 ; 225.557.137 ; 100 ; 207.635.273 ; 210 ; 433.192.411 ; 1.122 ; 577.887.973 ;
