Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Out/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
48;62.144.175;BANCO PINE S.A.; 122 ; 375.723.985 ; 435 ; 245.581.964 ; 73 ; 309.899.769 ; 781 ; 347.544.617 ; 1.411 ; 1.278.750.335 ; 37 ; 487.477.104 ; 39 ; 720.701.635 ; 76,0 ; 1.208.178.739 ; 1.487 ; 2.486.929.073 ;
49;33.923.798;BANCO MµXIMA S.A.; 411 ; 10.368.025 ; 3.308 ; 148.898.984 ; 622 ; 121.968.209 ; 2.491 ; 195.395.332 ; 6.832 ; 476.630.550 ; 2.618 ; 1.010.264.858 ; 12.212 ; 795.544.517 ; 14.830,0 ; 1.805.809.375 ; 21.662 ; 2.282.439.924 ;
50;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 130 ; 334.439.883 ; 70 ; 27.061.174 ; 124 ; 388.124.842 ; 207 ; 228.279.306 ; 531 ; 977.905.206 ; 219 ; 397.663.360 ; 271 ; 846.241.638 ; 490,0 ; 1.243.904.998 ; 1.021 ; 2.221.810.204 ;
51;30.723.886;BANCO MODAL S.A.; 102 ; 30.931.789 ; 593 ; 62.832.142 ; 132 ; 330.586.175 ; 466 ; 46.576.838 ; 1.293 ; 470.926.944 ; 224 ; 738.535.692 ; 222 ; 994.336.557 ; 446,0 ; 1.732.872.249 ; 1.739 ; 2.203.799.193 ;
52;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 59 ; 3.539.705 ; 401 ; 17.961.842 ; 319 ; 62.104.447 ; 1.559 ; 110.169.705 ; 2.338 ; 193.775.699 ; 459 ; 1.031.220.991 ; 555 ; 967.767.367 ; 1.014,0 ; 1.998.988.358 ; 3.352 ; 2.192.764.057 ;
53;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 73 ; 919.413 ; 970 ; 23.384.520 ; 3.901 ; 31.398.353 ; 17.737 ; 311.547.185 ; 22.681 ; 367.249.471 ; 18.528 ; 919.922.292 ; 3.343 ; 618.471.411 ; 21.871,0 ; 1.538.393.703 ; 44.552 ; 1.905.643.174 ;
54;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 414 ; 13.294.362 ; 12.022 ; 523.412.997 ; 2.526 ; 24.005.866 ; 31.344 ; 398.901.808 ; 46.306 ; 959.615.034 ; 9.913 ; 905.566.300 ; 194 ; 21.778.289 ; 10.107,0 ; 927.344.589 ; 56.413 ; 1.886.959.623 ;
55;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 41 ; 1.494.347 ; 11.464 ; 836.851.028 ; 2.666 ; 15.372.514 ; 36.326 ; 82.767.942 ; 50.497 ; 936.485.831 ; 8.073 ; 912.997.164 ; 275 ; 10.342.086 ; 8.348,0 ; 923.339.249 ; 58.845 ; 1.859.825.080 ;
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 160 ; 3.753.805 ; 992 ; 13.387.187 ; 11.223 ; 111.450.866 ; 66.977 ; 873.953.296 ; 79.352 ; 1.002.545.153 ; 7.506 ; 774.110.790 ; 75 ; 1.659.620 ; 7.581,0 ; 775.770.410 ; 86.933 ; 1.778.315.563 ;
57;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 67 ; 250.799.378 ; 128 ; 223.677.625 ; 53 ; 285.477.130 ; 486 ; 127.614.309 ; 734 ; 887.568.442 ; 79 ; 346.653.200 ; 87 ; 540.372.119 ; 166,0 ; 887.025.319 ; 900 ; 1.774.593.762 ;
