Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em DEZEMBRO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
50;2.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 8 ; 140.400 ; 68 ; 1.237.950 ; 369 ; 3.379.898 ; 1.500 ; 27.177.992 ; 1.945 ; 31.936.239 ; 1.818 ; 84.961.938 ; 360 ; 60.366.766 ; 2.178 ; 145.328.704 ; 4.123 ; 177.264.944 ;;;;
51;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 22 ; 337.194 ; 153 ; 1.957.920 ; 1.302 ; 11.129.563 ; 6.883 ; 85.489.128 ; 8.360 ; 98.913.805 ; 865 ; 76.155.561 ; 10 ; 209.906 ; 875 ; 76.365.467 ; 9.235 ; 175.279.272 ;;;;
52;7.450.604;BANCO INDUSTRIAL E COMERCIAL S.A.; 90 ; 42.371.239 ; 167 ; 20.197.127 ; 64 ; 3.123.256 ; 282 ; 26.917.836 ; 603 ; 92.609.458 ; 39 ; 50.408.761 ; 18 ; 30.013.312 ; 57 ; 80.422.074 ; 660 ; 173.031.532 ;;;;
53;17.453.575;ICBC DO BRASIL BANCO MÈLTIPLO S.A.; 2 ; 17.333.333 ; 6 ; 6.982.663 ; 8 ; 56.880.456 ; 10 ; 720.984 ; 26 ; 81.917.436 ; 5 ; 8.298.000 ; 7 ; 74.680.000 ; 12 ; 82.978.000 ; 38 ; 164.895.436 ;;;;
54;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 1 ; 2.000.000 ; 17 ; 74.150.000 ; 18 ; 76.150.000 ; 18 ; 79.400.000 ; 2 ; 7.250.000 ; 20 ; 86.650.000 ; 38 ; 162.800.000 ;;;;
55;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 44 ; 951.375 ; 857 ; 26.750.319 ; 675 ; 11.105.408 ; 2.753 ; 49.024.194 ; 4.329 ; 87.831.297 ; 581 ; 64.801.019 ; 6 ; 1.080.000 ; 587 ; 65.881.019 ; 4.916 ; 153.712.315 ;;;;
56;11.495.073;OM DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS LTDA;;; 128 ; 8.248.535 ; 2.339 ; 2.851.903 ; 4.162 ; 22.199.089 ; 6.629 ; 33.299.528 ; 1.593 ; 73.362.250 ; 119 ; 45.670.408 ; 1.712 ; 119.032.658 ; 8.341 ; 152.332.186 ;;;;
57;58.616.418;BANCO FIBRA S.A.; 107 ; 17.300.308 ; 162 ; 14.522.720 ; 138 ; 25.266.587 ; 240 ; 23.410.615 ; 647 ; 80.500.231 ; 46 ; 45.514.659 ; 36 ; 26.035.612 ; 82 ; 71.550.271 ; 729 ; 152.050.502 ;;;;
58;72.760.713;RENOVA S.A. CORRETORA DE C∂MBIO; 9 ; 141.068 ; 86 ; 2.274.562 ; 243 ; 2.162.862 ; 1.200 ; 11.718.933 ; 1.538 ; 16.297.425 ; 766 ; 71.481.074 ; 131 ; 59.892.467 ; 897 ; 131.373.541 ; 2.435 ; 147.670.966 ;;;;
59;10.690.848;BANCO DA CHINA BRASIL S.A.; 3 ; 294.535 ; 14 ; 37.295.142 ; 25 ; 68.796.451 ; 29 ; 1.746.146 ; 71 ; 108.132.274 ; 5 ; 2.883.000 ; 10 ; 32.917.000 ; 15 ; 35.800.000 ; 86 ; 143.932.274 ;;;;
