Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Câmbio Contratado em NOVEMBRO / 2015;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Mercado Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Mercado Interbancário ;; Total ;;;;;
;;; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ; Nº Oper. ; Valor (US$) ;;;;
55;61.186.680;BANCO BMG S.A.; 21 ; 29.157.648 ;;; 3 ; 4.594.992 ; 6 ; 13.485.364 ; 30 ; 47.238.004 ; 5 ; 12.843.240 ; 23 ; 40.815.610 ; 28 ; 53.658.850 ; 58 ; 100.896.854 ;;;;
56;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 46 ; 110.610 ; 116 ; 1.440.376 ; 162 ; 1.550.986 ; 260 ; 50.167.234 ; 137 ; 48.828.211 ; 397 ; 98.995.445 ; 559 ; 100.546.430 ;;;;
57;19.307.785;MS BANK S.A. BANCO DE CÂMBIO; 10 ; 647.591 ; 180 ; 6.772.223 ; 43 ; 25.546.815 ; 326 ; 15.887.724 ; 559 ; 48.854.352 ; 176 ; 22.717.830 ; 320 ; 28.249.541 ; 496 ; 50.967.371 ; 1.055 ; 99.821.723 ;;;;
58;07.450.604;CHINA CONSTRUCTION BANK (BRASIL) BANCO MÚLTIPLO S/A; 64 ; 6.103.948 ; 92 ; 20.378.201 ; 42 ; 1.372.577 ; 179 ; 18.644.582 ; 377 ; 46.499.308 ; 29 ; 43.889.704 ; 14 ; 8.707.799 ; 43 ; 52.597.502 ; 420 ; 99.096.811 ;;;;
59;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 32 ; 657.518 ; 130 ; 1.239.162 ; 1.152 ; 10.107.482 ; 4.442 ; 46.580.256 ; 5.756 ; 58.584.418 ; 610 ; 37.130.159 ; 4 ; 140.531 ; 614 ; 37.270.691 ; 6.370 ; 95.855.109 ;;;;
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 51 ; 1.252.372 ; 931 ; 22.261.911 ; 498 ; 9.934.325 ; 1.653 ; 23.205.084 ; 3.133 ; 56.653.692 ; 668 ; 34.873.699 ; 7 ; 639.663 ; 675 ; 35.513.361 ; 3.808 ; 92.167.053 ;;;;
61;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 36 ; 1.303.117 ; 836 ; 29.887.412 ; 446 ; 4.632.806 ; 1.193 ; 9.194.026 ; 2.511 ; 45.017.360 ; 1.118 ; 37.752.732 ; 152 ; 4.598.636 ; 1.270 ; 42.351.367 ; 3.781 ; 87.368.727 ;;;;
62;52.937.216;BEXS CORRETORA DE CÂMBIO S/A;;;;; 230 ; 198.927 ; 1.346 ; 4.781.168 ; 1.576 ; 4.980.095 ; 527 ; 41.964.547 ; 58 ; 37.347.668 ; 585 ; 79.312.214 ; 2.161 ; 84.292.309 ;;;;
63;30.723.886;BANCO MODAL S.A.; 18 ; 9.786.895 ; 41 ; 4.551.398 ; 21 ; 26.121.018 ; 84 ; 9.721.525 ; 164 ; 50.180.837 ; 5 ; 5.526.071 ; 12 ; 25.262.010 ; 17 ; 30.788.080 ; 181 ; 80.968.917 ;;;;
64;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 5 ; 127.793 ; 26 ; 110.103 ; 626 ; 17.354.563 ; 961 ; 38.077.098 ; 1.618 ; 55.669.557 ; 543 ; 22.280.264 ; 128 ; 1.164.431 ; 671 ; 23.444.695 ; 2.289 ; 79.114.253 ;;;;
65;07.656.500;BANCO KDB DO BRASIL S.A.;;; 3 ; 1.291.553 ; 85 ; 12.816.941 ; 129 ; 19.078.151 ; 217 ; 33.186.645 ; 11 ; 13.843.241 ; 16 ; 30.849.987 ; 27 ; 44.693.227 ; 244 ; 77.879.873 ;;;;
66;60.889.128;BANCO SOFISA S.A.; 84 ; 21.209.728 ; 59 ; 4.309.287 ; 12 ; 2.799.847 ; 105 ; 5.254.396 ; 260 ; 33.573.258 ; 9 ; 23.976.871 ; 7 ; 16.950.370 ; 16 ; 40.927.240 ; 276 ; 74.500.498 ;;;;
67;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;; 1 ; 4.356 ; 673 ; 8.199.013 ; 1.787 ; 34.119.813 ; 2.461 ; 42.323.182 ; 1.681 ; 26.966.143 ; 49 ; 344.201 ; 1.730 ; 27.310.344 ; 4.191 ; 69.633.526 ;;;;
68;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 2 ; 4.000.000 ; 5 ; 22.432.782 ; 10 ; 26.138.060 ; 14 ; 1.418.851 ; 31 ; 53.989.693 ; 8 ; 4.128.538 ; 7 ; 10.214.520 ; 15 ; 14.343.058 ; 46 ; 68.332.751 ;;;;
69;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 35 ; 7.874.567 ; 41 ; 15.488.295 ; 76 ; 23.362.862 ; 27 ; 24.297.791 ; 18 ; 16.700.890 ; 45 ; 40.998.681 ; 121 ; 64.361.543 ;;;;
