Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em SETEMBRO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
56;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 106 ; 123.688 ; 210 ; 578.861 ; 316 ; 702.549 ; 462 ; 49.079.963 ; 303 ; 48.625.413 ; 765 ; 97.705.376 ; 1.081 ; 98.407.925 
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 887 ; 8.659.056 ; 3.020 ; 44.588.361 ; 3.907 ; 53.247.417 ; 2.667 ; 38.277.910 ; 26 ; 1.201.489 ; 2.693 ; 39.479.399 ; 6.600 ; 92.726.816 
58;33.923.798;BANCO MÁXIMA S.A.; 9 ; 24.189.289 ; 42 ; 2.382.165 ; 74 ; 8.508.991 ; 4.045 ; 13.366.411 ; 4.170 ; 48.446.856 ; 24 ; 15.160.820 ; 17 ; 28.047.600 ; 41 ; 43.208.421 ; 4.211 ; 91.655.277 
59;00.000.208;BRB - BANCO DE BRASILIA S.A.;;; 1 ; 6.900 ; 41 ; 39.993.697 ; 335 ; 5.039.973 ; 377 ; 45.040.570 ; 7 ; 3.335.570 ; 3 ; 40.502.921 ; 10 ; 43.838.491 ; 387 ; 88.879.061 
60;92.894.922;BANCO ORIGINAL S.A.; 10 ; 12.869.876 ; 128 ; 9.379.603 ; 41 ; 23.632 ; 225 ; 15.405.779 ; 404 ; 37.678.889 ; 3 ; 5.170.000 ; 3 ; 45.000.000 ; 6 ; 50.170.000 ; 410 ; 87.848.889 
61;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 123 ; 34.091.612 ; 159 ; 20.777.539 ; 282 ; 54.869.152 ; 11 ; 9.163.608 ; 43 ; 22.450.000 ; 54 ; 31.613.608 ; 336 ; 86.482.760 
62;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 480 ; 21.877.175 ; 368 ; 10.288.132 ; 247 ; 5.785.707 ; 222 ; 19.751.713 ; 1.317 ; 57.702.727 ; 20 ; 15.180.807 ; 15 ; 12.911.153 ; 35 ; 28.091.960 ; 1.352 ; 85.794.687 
63;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 40 ; 28.377.816 ; 70 ; 5.540.710 ; 57 ; 3.744.685 ; 63 ; 2.741.869 ; 230 ; 40.405.080 ; 29 ; 7.029.044 ; 31 ; 30.749.067 ; 60 ; 37.778.111 ; 290 ; 78.183.191 
64;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 17 ; 194.879 ; 335 ; 6.537.233 ; 522 ; 4.935.113 ; 1.529 ; 15.753.102 ; 2.403 ; 27.420.327 ; 1.808 ; 31.616.202 ; 211 ; 14.452.061 ; 2.019 ; 46.068.263 ; 4.422 ; 73.488.591 
65;59.118.133;BANCO LUSO BRASILEIRO S.A.; 51 ; 4.533.993 ; 312 ; 19.951.774 ; 53 ; 7.263.085 ; 125 ; 4.146.113 ; 541 ; 35.894.964 ; 264 ; 22.974.157 ; 78 ; 10.663.200 ; 342 ; 33.637.358 ; 883 ; 69.532.322 
66;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 36 ; 15.207.960 ; 21 ; 3.144.730 ; 23 ; 317.619 ; 35 ; 10.352.301 ; 115 ; 29.022.610 ; 24 ; 16.263.551 ; 25 ; 18.199.201 ; 49 ; 34.462.752 ; 164 ; 63.485.362 
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 136 ; 2.905.060 ; 938 ; 23.881.069 ; 411 ; 4.200.534 ; 647 ; 4.813.141 ; 2.132 ; 35.799.803 ; 326 ; 24.409.780 ; 29 ; 2.857.371 ; 355 ; 27.267.151 ; 2.487 ; 63.066.955 
68;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 73 ; 1.214.088 ; 1.124 ; 23.965.056 ; 246 ; 4.064.056 ; 931 ; 7.138.076 ; 2.374 ; 36.381.276 ; 416 ; 26.186.909 ; 5 ; 434.548 ; 421 ; 26.621.457 ; 2.795 ; 63.002.733 
69;00.038.166;BANCO CENTRAL DO BRASIL;;;;; 10 ; 62.728.504 ;;; 10 ; 62.728.504 ;;;;; -   ; -   ; 10 ; 62.728.504 
70;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 18 ; 3.086.141 ; 21 ; 647.585 ; 6 ; 1.035.781 ; 44 ; 27.346.563 ; 89 ; 32.116.069 ; 4 ; 27.500.000 ;;; 4 ; 27.500.000 ; 93 ; 59.616.069 
71;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 35 ; 766.153 ; 806 ; 18.713.113 ; 345 ; 2.344.718 ; 953 ; 8.068.618 ; 2.139 ; 29.892.602 ; 1.271 ; 26.535.025 ; 148 ; 2.820.985 ; 1.419 ; 29.356.011 ; 3.558 ; 59.248.613 
72;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 10 ; 11.472.750 ; 3 ; 4.667.073 ; 4 ; 1.727.504 ; 48 ; 7.315.649 ; 65 ; 25.182.976 ; 8 ; 21.030.000 ; 4 ; 9.000.000 ; 12 ; 30.030.000 ; 77 ; 55.212.976 
73;07.679.404;BANCO TOPÁZIO S.A.;;; 8 ; 510.230 ; 37 ; 2.021.951 ; 86 ; 24.211.358 ; 131 ; 26.743.539 ; 38 ; 23.105.453 ; 5 ; 478.115 ; 43 ; 23.583.568 ; 174 ; 50.327.107 
74;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.; 189 ; 12.194.104 ; 290 ; 6.767.615 ; 554 ; 1.492.263 ; 1.488 ; 5.739.422 ; 2.521 ; 26.193.404 ; 661 ; 11.343.656 ; 122 ; 12.448.398 ; 783 ; 23.792.054 ; 3.304 ; 49.985.457 
