Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jul/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
50;30.723.886;BANCO MODAL S.A.; 65 ; 64.524.933 ; 546 ; 73.390.820 ; 572 ; 442.426.161 ; 760 ; 164.931.742 ; 1.943 ; 745.273.656 ; 72 ; 153.585.073 ; 72 ; 427.848.737 ; 144 ; 581.433.810 ; 2.087 ; 1.326.707.466 
51;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 69 ; 748.413 ; 350 ; 7.127.684 ; 4.874 ; 257.778.659 ; 23.887 ; 562.672.940 ; 29.180 ; 828.327.696 ; 5.887 ; 370.155.846 ; 2.966 ; 48.783.919 ; 8.853 ; 418.939.765 ; 38.033 ; 1.247.267.461 
52;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.460 ; 34.048.716 ; 11.928 ; 232.258.447 ; 11.237 ; 99.783.241 ; 30.365 ; 263.958.706 ; 54.990 ; 630.049.109 ; 5.425 ; 439.403.827 ; 929 ; 77.528.207 ; 6.354 ; 516.932.034 ; 61.344 ; 1.146.981.144 
53;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 53 ; 21.812.508 ; 684 ; 40.819.630 ; 683 ; 242.364.396 ; 1.146 ; 255.463.436 ; 2.566 ; 560.459.970 ; 875 ; 279.630.999 ; 383 ; 247.478.757 ; 1.258 ; 527.109.756 ; 3.824 ; 1.087.569.726 
54;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 566 ; 899.829 ; 1.489 ; 8.738.284 ; 2.055 ; 9.638.113 ; 4.328 ; 503.832.400 ; 2.442 ; 495.990.089 ; 6.770 ; 999.822.489 ; 8.825 ; 1.009.460.602 
55;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 17 ; 1.294.976 ; 357 ; 92.410.755 ; 536 ; 377.181.957 ; 935 ; 348.837.912 ; 1.845 ; 819.725.600 ; 221 ; 114.183.126 ; 50 ; 51.246.000 ; 271 ; 165.429.126 ; 2.116 ; 985.154.725 
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 270 ; 6.505.686 ; 1.534 ; 19.561.806 ; 9.560 ; 61.710.667 ; 38.917 ; 447.101.039 ; 50.281 ; 534.879.197 ; 9.020 ; 398.959.876 ; 30 ; 785.190 ; 9.050 ; 399.745.066 ; 59.331 ; 934.624.264 
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 6.528 ; 62.587.904 ; 28.446 ; 431.666.643 ; 34.974 ; 494.254.547 ; 19.305 ; 374.354.527 ; 318 ; 6.019.618 ; 19.623 ; 380.374.145 ; 54.597 ; 874.628.692 
58;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 581 ; 229.389.480 ; 647 ; 315.921.854 ; 1.228 ; 545.311.334 ; 215 ; 186.507.600 ; 127 ; 99.951.000 ; 342 ; 286.458.600 ; 1.570 ; 831.769.934 
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 733 ; 13.524.835 ; 8.871 ; 191.268.042 ; 4.741 ; 62.066.000 ; 16.500 ; 193.824.519 ; 30.845 ; 460.683.396 ; 9.686 ; 333.056.461 ; 125 ; 23.527.984 ; 9.811 ; 356.584.445 ; 40.656 ; 817.267.840 
