Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Jul/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
50;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 48 ; 2.925.129 ; 182 ; 4.687.287 ; 227 ; 50.608.673 ; 1.065 ; 80.877.862 ; 1.522 ; 139.098.950 ; 358 ; 695.435.882 ; 399 ; 666.188.635 ; 757,0 ; 1.361.624.517 ; 2.279 ; 1.500.723.467 ;
51;58.616.418;BANCO FIBRA S.A.; 422 ; 99.390.218 ; 1.274 ; 99.453.703 ; 643 ; 217.001.685 ; 1.608 ; 418.562.470 ; 3.947 ; 834.408.077 ; 265 ; 500.669.296 ; 159 ; 115.305.017 ; 424,0 ; 615.974.313 ; 4.371 ; 1.450.382.390 ;
52;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 267 ; 8.615.093 ; 9.236 ; 434.610.302 ; 2.178 ; 23.523.336 ; 18.566 ; 262.167.015 ; 30.247 ; 728.915.746 ; 7.462 ; 680.355.876 ; 173 ; 17.378.593 ; 7.635,0 ; 697.734.469 ; 37.882 ; 1.426.650.215 ;
53;30.723.886;BANCO MODAL S.A.; 69 ; 16.826.472 ; 486 ; 51.870.655 ; 80 ; 259.950.135 ; 347 ; 43.810.929 ; 982 ; 372.458.191 ; 119 ; 429.678.356 ; 123 ; 611.512.480 ; 242,0 ; 1.041.190.836 ; 1.224 ; 1.413.649.026 ;
54;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 52 ; 668.047 ; 662 ; 17.468.922 ; 2.784 ; 22.640.110 ; 13.021 ; 228.573.575 ; 16.519 ; 269.350.653 ; 12.620 ; 653.713.658 ; 2.305 ; 432.320.406 ; 14.925,0 ; 1.086.034.064 ; 31.444 ; 1.355.384.717 ;
55;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 48 ; 220.783.436 ; 81 ; 136.954.247 ; 36 ; 237.521.462 ; 299 ; 19.021.976 ; 464 ; 614.281.122 ; 47 ; 177.356.506 ; 67 ; 479.328.956 ; 114,0 ; 656.685.461 ; 578 ; 1.270.966.583 ;
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 100 ; 2.554.763 ; 629 ; 9.009.658 ; 7.261 ; 78.876.045 ; 45.644 ; 602.833.113 ; 53.634 ; 693.273.579 ; 5.159 ; 531.583.325 ; 41 ; 988.726 ; 5.200,0 ; 532.572.051 ; 58.834 ; 1.225.845.630 ;
57;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 28 ; 961.292 ; 7.432 ; 551.432.609 ; 1.957 ; 10.649.183 ; 23.898 ; 50.925.482 ; 33.315 ; 613.968.567 ; 5.438 ; 598.724.178 ; 184 ; 7.454.139 ; 5.622,0 ; 606.178.317 ; 38.937 ; 1.220.146.884 ;
58;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 6 ; 83.202 ; 1.066 ; 32.408.416 ; 985 ; 5.536.155 ; 6.968 ; 416.318.015 ; 9.025 ; 454.345.788 ; 6.841 ; 499.638.318 ; 600 ; 56.511.597 ; 7.441,0 ; 556.149.915 ; 16.466 ; 1.010.495.703 ;
59;17.453.575;ICBC DO BRASIL BANCO MÈLTIPLO S.A.; 39 ; 136.000.000 ; 13 ; 36.653.212 ; 31 ; 354.477.852 ; 32 ; 2.531.308 ; 115 ; 529.662.372 ; 8 ; 6.464.000 ; 58 ; 472.111.000 ; 66,0 ; 478.575.000 ; 181 ; 1.008.237.372 ;
