Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2017;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
45;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 40 ; 151.095.012 ; 49 ; 5.463.669 ; 46 ; 203.170.124 ; 133 ; 411.064.491 ; 268 ; 770.793.297 ; 60 ; 309.395.519 ; 148 ; 234.903.101 ; 208 ; 544.298.619 ; 476 ; 1.315.091.916 ;;;;
46;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 4.961 ; 384.568.956 ; 6.311 ; 249.766.649 ; 2.086 ; 66.107.882 ; 7.331 ; 164.654.033 ; 20.689 ; 865.097.521 ; 221 ; 192.950.358 ; 245 ; 228.833.273 ; 466 ; 421.783.632 ; 21.155 ; 1.286.881.153 ;;;;
47;58.616.418;BANCO FIBRA S.A.; 284 ; 144.583.877 ; 2.612 ; 243.045.969 ; 303 ; 29.115.655 ; 1.724 ; 191.369.298 ; 4.923 ; 608.114.799 ; 120 ; 383.520.726 ; 44 ; 109.815.157 ; 164 ; 493.335.883 ; 5.087 ; 1.101.450.682 ;;;;
48;15.114.366;BANCO BBM S/A; 157 ; 135.334.897 ; 28 ; 3.382.040 ; 81 ; 192.682.395 ; 335 ; 139.475.550 ; 601 ; 470.874.882 ; 49 ; 202.943.946 ; 59 ; 362.142.383 ; 108 ; 565.086.329 ; 709 ; 1.035.961.210 ;;;;
49;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 10 ; 1.672.279 ; 188 ; 91.638.426 ; 236 ; 326.677.683 ; 577 ; 328.884.111 ; 1.011 ; 748.872.499 ; 169 ; 113.288.040 ; 47 ; 21.060.969 ; 216 ; 134.349.009 ; 1.227 ; 883.221.507 ;;;;
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.012 ; 24.204.755 ; 9.829 ; 203.626.367 ; 7.274 ; 81.369.800 ; 19.728 ; 172.649.845 ; 37.843 ; 481.850.767 ; 4.919 ; 328.643.002 ; 1.224 ; 57.868.676 ; 6.143 ; 386.511.678 ; 43.986 ; 868.362.445 ;;;;
51;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 26 ; 201.125 ; 220 ; 2.358.570 ; 3.392 ; 155.093.590 ; 7.583 ; 400.381.776 ; 11.221 ; 558.035.061 ; 4.709 ; 277.758.380 ; 2.655 ; 31.813.787 ; 7.364 ; 309.572.166 ; 18.585 ; 867.607.228 ;;;;
52;61.186.680;BANCO BMG S.A.; 51 ; 115.055.900 ; 22 ; 3.973.149 ; 8 ; 3.970.105 ; 109 ; 263.028.024 ; 190 ; 386.027.178 ; 18 ; 290.852.929 ; 19 ; 139.543.477 ; 37 ; 430.396.407 ; 227 ; 816.423.585 ;;;;
53;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 475 ; 1.500.401 ; 1.043 ; 7.704.014 ; 1.518 ; 9.204.415 ; 2.842 ; 391.754.697 ; 1.705 ; 385.565.313 ; 4.547 ; 777.320.011 ; 6.065 ; 786.524.426 ;;;;
54;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 567 ; 219.536.737 ; 580 ; 261.429.214 ; 1.147 ; 480.965.952 ; 176 ; 159.858.237 ; 146 ; 117.940.588 ; 322 ; 277.798.826 ; 1.469 ; 758.764.777 ;;;;
55;59.118.133;BANCO LUSO BRASILEIRO S.A.; 799 ; 124.488.775 ; 868 ; 81.025.116 ; 304 ; 76.790.171 ; 1.129 ; 70.383.645 ; 3.100 ; 352.687.707 ; 1.126 ; 161.612.941 ; 927 ; 211.325.759 ; 2.053 ; 372.938.700 ; 5.153 ; 725.626.407 ;;;;
56;33.918.160;GRADUAL CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.;;; 108 ; 2.443.334 ; 563 ; 5.320.993 ; 2.843 ; 308.363.593 ; 3.514 ; 316.127.920 ; 16.568 ; 353.578.360 ; 115 ; 43.866.655 ; 16.683 ; 397.445.015 ; 20.197 ; 713.572.934 ;;;;
57;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 5.374 ; 51.558.478 ; 24.940 ; 334.749.880 ; 30.314 ; 386.308.358 ; 13.838 ; 285.777.262 ; 400 ; 3.767.367 ; 14.238 ; 289.544.629 ; 44.552 ; 675.852.987 ;;;;
58;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 173 ; 3.612.005 ; 977 ; 11.616.331 ; 7.408 ; 48.728.601 ; 30.083 ; 323.659.612 ; 38.641 ; 387.616.549 ; 4.745 ; 283.161.429 ; 18 ; 518.508 ; 4.763 ; 283.679.937 ; 43.404 ; 671.296.486 ;;;;
59;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;; 2 ; 41.526.002 ;;; 2 ; 41.526.002 ; 2 ; 310.519.524 ; 2 ; 317.757.747 ; 4 ; 628.277.270 ; 6 ; 669.803.272 ;;;;
60;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 588 ; 13.030.522 ; 6.702 ; 142.283.658 ; 4.194 ; 57.992.902 ; 19.166 ; 157.695.065 ; 30.650 ; 371.002.147 ; 7.656 ; 262.949.221 ; 138 ; 34.112.497 ; 7.794 ; 297.061.718 ; 38.444 ; 668.063.865 ;;;;
61;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 2.824 ; 152.471.805 ; 2.052 ; 61.864.295 ; 1.091 ; 35.263.120 ; 1.039 ; 126.366.449 ; 7.006 ; 375.965.668 ; 128 ; 111.758.781 ; 104 ; 110.738.489 ; 232 ; 222.497.270 ; 7.238 ; 598.462.938 ;;;;
62;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 2 ; 105.590 ; 67 ; 12.132.518 ; 295 ; 244.390.713 ; 347 ; 99.506.011 ; 711 ; 356.134.832 ; 59 ; 50.220.784 ; 91 ; 182.942.916 ; 150 ; 233.163.700 ; 861 ; 589.298.532 ;;;;
63;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 75 ; 14.324.664 ; 579 ; 29.166.450 ; 456 ; 200.214.107 ; 480 ; 96.300.690 ; 1.590 ; 340.005.911 ; 450 ; 75.756.962 ; 256 ; 165.431.298 ; 706 ; 241.188.260 ; 2.296 ; 581.194.171 ;;;;
64;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 1.606 ; 73.538.373 ; 4.968 ; 150.972.184 ; 2.170 ; 64.002.031 ; 4.879 ; 65.600.190 ; 13.623 ; 354.112.778 ; 1.979 ; 146.140.226 ; 326 ; 67.017.070 ; 2.305 ; 213.157.296 ; 15.928 ; 567.270.074 ;;;;
65;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 432 ; 85.649.121 ; 548 ; 33.097.799 ; 384 ; 82.579.602 ; 467 ; 31.734.561 ; 1.831 ; 233.061.084 ; 297 ; 143.817.554 ; 193 ; 182.406.728 ; 490 ; 326.224.283 ; 2.321 ; 559.285.367 ;;;;
