Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JUNHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
47;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 14 ; 65.000.000 ; 5 ; 8.017.965 ; 7 ; 30.335.683 ; 11 ; 2.551.616 ; 37 ; 105.905.264 ; 5 ; 12.600.000 ; 62 ; 88.200.000 ; 67 ; 100.800.000 ; 104 ; 206.705.264 
48;07.656.500;BANCO KDB DO BRASIL S.A.;;;;; 158 ; 54.773.866 ; 172 ; 15.147.355 ; 330 ; 69.921.221 ; 13 ; 4.500.000 ; 68 ; 129.550.000 ; 81 ; 134.050.000 ; 411 ; 203.971.221 
49;15.114.366;BANCO BBM S/A; 36 ; 20.528.423 ;;; 29 ; 31.254.798 ; 88 ; 5.043.852 ; 153 ; 56.827.072 ; 4 ; 25.628.709 ; 14 ; 104.130.070 ; 18 ; 129.758.779 ; 171 ; 186.585.851 
50;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 229 ; 5.155.460 ; 1.906 ; 41.645.257 ; 1.683 ; 17.688.343 ; 4.626 ; 39.121.504 ; 8.444 ; 103.610.564 ; 886 ; 68.885.681 ; 128 ; 10.906.700 ; 1.014 ; 79.792.381 ; 9.458 ; 183.402.945 
51;60.889.128;BANCO SOFISA S.A.; 103 ; 12.247.585 ; 80 ; 3.472.137 ; 10 ; 30.362.741 ; 102 ; 2.408.189 ; 295 ; 48.490.652 ; 18 ; 38.014.836 ; 11 ; 79.739.286 ; 29 ; 117.754.122 ; 324 ; 166.244.774 
52;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 9 ; 120.166 ; 40 ; 658.522 ; 647 ; 39.423.505 ; 4.268 ; 68.149.245 ; 4.964 ; 108.351.437 ; 646 ; 39.324.705 ; 537 ; 9.320.055 ; 1.183 ; 48.644.760 ; 6.147 ; 156.996.198 
53;92.894.922;BANCO ORIGINAL S.A.; 22 ; 76.114.306 ; 42 ; 2.952.017 ; 55 ; 671.874 ; 303 ; 18.972.815 ; 422 ; 98.711.012 ; 10 ; 1.134.892 ; 7 ; 55.000.000 ; 17 ; 56.134.892 ; 439 ; 154.845.904 
54;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 49 ; 126.900 ; 138 ; 977.733 ; 187 ; 1.104.633 ; 586 ; 76.921.195 ; 356 ; 76.069.700 ; 942 ; 152.990.895 ; 1.129 ; 154.095.529 
55;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 15 ; 5.366.740 ; 120 ; 13.507.573 ; 83 ; 17.663.121 ; 175 ; 37.637.253 ; 393 ; 74.174.687 ; 137 ; 51.293.934 ; 58 ; 23.179.290 ; 195 ; 74.473.224 ; 588 ; 148.647.911 
56;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;;; 7 ; 2.712.890 ; 13 ; 45.537.096 ; 73 ; 49.414.437 ; 93 ; 97.664.423 ; 12 ; 34.538.892 ; 10 ; 9.528.439 ; 22 ; 44.067.331 ; 115 ; 141.731.754 
