Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
61;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.; 39 ; 850.375 ; 1.090 ; 33.334.789 ; 434 ; 12.549.181 ; 1.069 ; 8.485.783 ; 2.632 ; 55.220.127 ; 1.552 ; 32.333.694 ; 153 ; 3.896.989 ; 1.705 ; 36.230.683 ; 4.337 ; 91.450.810 
62;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 17 ; 44.000.000 ; 3 ; 1.017.568 ; 4 ; 153.815 ; 8 ; 20.373 ; 32 ; 45.191.756 ; 1 ; 1.000.000 ; 51 ; 44.000.000 ; 52 ; 45.000.000 ; 84 ; 90.191.756 
63;59.118.133;BANCO LUSO BRASILEIRO S.A.; 39 ; 3.747.268 ; 286 ; 23.030.552 ; 40 ; 2.875.971 ; 151 ; 9.765.838 ; 516 ; 39.419.629 ; 283 ; 32.876.405 ; 65 ; 6.704.011 ; 348 ; 39.580.415 ; 864 ; 79.000.044 
64;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 30 ; 4.644.714 ; 19 ; 372.192 ; 7 ; 2.539.694 ; 61 ; 41.071.444 ; 117 ; 48.628.044 ; 6 ; 27.000.000 ;;; 6 ; 27.000.000 ; 123 ; 75.628.044 
65;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 53 ; 32.320.600 ; 39 ; 2.778.819 ; 48 ; 1.479.107 ; 64 ; 1.304.310 ; 204 ; 37.882.836 ; 22 ; 3.770.300 ; 41 ; 33.121.302 ; 63 ; 36.891.603 ; 267 ; 74.774.438 
66;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 69 ; 16.051.636 ; 84 ; 33.086.519 ; 153 ; 49.138.155 ; 26 ; 20.258.000 ; 9 ; 3.210.000 ; 35 ; 23.468.000 ; 188 ; 72.606.155 
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 141 ; 3.080.969 ; 938 ; 25.278.455 ; 430 ; 4.173.288 ; 835 ; 8.886.314 ; 2.344 ; 41.419.026 ; 397 ; 29.005.496 ; 16 ; 2.079.482 ; 413 ; 31.084.978 ; 2.757 ; 72.504.004 
68;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 13 ; 15.879.255 ; 20 ; 21.447.460 ;;; 92 ; 6.229.096 ; 125 ; 43.555.811 ; 9 ; 14.250.000 ; 2 ; 10.000.000 ; 11 ; 24.250.000 ; 136 ; 67.805.811 
69;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 91 ; 1.697.651 ; 1.230 ; 25.854.467 ; 274 ; 4.754.271 ; 1.052 ; 7.529.247 ; 2.647 ; 39.835.636 ; 453 ; 27.181.381 ; 3 ; 299.412 ; 456 ; 27.480.793 ; 3.103 ; 67.316.429 
70;62.285.390;SOCOPA SOCIEDADE CORRETORA PAULISTA S.A.; 16 ; 286.110 ; 307 ; 6.428.654 ; 431 ; 3.206.817 ; 4.595 ; 26.529.372 ; 5.349 ; 36.450.954 ; 1.658 ; 29.715.318 ; 13 ; 167.368 ; 1.671 ; 29.882.687 ; 7.020 ; 66.333.640 
71;15.357.060;BANCO WOORI BANK DO BRASIL S.A.;;; 49 ; 10.422.101 ; 82 ; 13.922.179 ; 159 ; 15.540.215 ; 290 ; 39.884.496 ; 39 ; 16.432.599 ; 8 ; 4.320.000 ; 47 ; 20.752.599 ; 337 ; 60.637.094 
72;02.318.507;BANCO KEB HANA DO BRASIL S.A.;;; 12 ; 1.248.784 ; 42 ; 14.161.442 ; 58 ; 15.030.306 ; 112 ; 30.440.531 ; 16 ; 14.377.483 ; 9 ; 12.236.100 ; 25 ; 26.613.583 ; 137 ; 57.054.114 
73;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.; 190 ; 12.251.261 ; 243 ; 6.053.501 ; 454 ; 1.882.635 ; 1.469 ; 9.584.433 ; 2.356 ; 29.771.830 ; 930 ; 12.646.734 ; 99 ; 11.141.491 ; 1.029 ; 23.788.225 ; 3.385 ; 53.560.056 
