Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado em JUNHO / 2014;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;;;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;;;;
58;00.997.185;BANCO BM&FBOVESPA DE SERVIÄOS DE LIQUIDAÄ«O E CUST‡DIA S.A.;;;;; 34 ; 21.925.192 ; 31 ; 32.954.225 ; 65 ; 54.879.418 ; 26 ; 32.420.000 ; 24 ; 21.390.000 ; 50 ; 53.810.000 ; 115 ; 108.689.418 ;;;;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 48 ; 738.693 ; 903 ; 25.098.236 ; 578 ; 10.489.230 ; 2.076 ; 25.705.816 ; 3.605 ; 62.031.975 ; 339 ; 40.474.248 ; 5 ; 761.966 ; 344 ; 41.236.214 ; 3.949 ; 103.268.189 ;;;;
60;61.024.352;BANCO INDUSVAL S.A.; 48 ; 31.804.998 ; 52 ; 3.236.413 ; 16 ; 422.248 ; 79 ; 4.473.059 ; 195 ; 39.936.718 ; 28 ; 23.185.189 ; 41 ; 33.985.238 ; 69 ; 57.170.428 ; 264 ; 97.107.146 ;;;;
61;50.657.675;SLW CORRETORA DE VALORES E C∂MBIO LTDA.;;; 712 ; 40.640.393 ; 4 ; 95.717 ; 244 ; 7.053.006 ; 960 ; 47.789.117 ; 314 ; 48.194.230 ;;; 314 ; 48.194.230 ; 1.274 ; 95.983.347 ;;;;
62;12.586.596;MULTIMONEY CORRETORA DE C∂MBIO LTDA; 7 ; 436.392 ; 211 ; 4.574.306 ; 355 ; 2.126.304 ; 1.717 ; 22.801.567 ; 2.290 ; 29.938.570 ; 1.013 ; 44.896.436 ; 557 ; 19.980.478 ; 1.570 ; 64.876.915 ; 3.860 ; 94.815.484 ;;;;
63;58.616.418;BANCO FIBRA S.A.; 48 ; 13.972.803 ; 210 ; 17.250.665 ; 80 ; 1.541.621 ; 206 ; 23.127.788 ; 544 ; 55.892.877 ; 31 ; 10.180.530 ; 19 ; 23.203.044 ; 50 ; 33.383.574 ; 594 ; 89.276.452 ;;;;
64;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 52 ; 2.290.076 ; 849 ; 32.504.293 ; 305 ; 6.969.743 ; 986 ; 10.254.617 ; 2.192 ; 52.018.729 ; 248 ; 35.047.491 ; 3 ; 1.497.025 ; 251 ; 36.544.516 ; 2.443 ; 88.563.245 ;;;;
65;67.391.821;S. HAYATA CORRETORA DE C∂MBIO S.A.; 3 ; 42.607 ; 608 ; 28.465.585 ; 65 ; 557.037 ; 2.696 ; 14.672.283 ; 3.372 ; 43.737.511 ; 656 ; 44.147.268 ; 2 ; 81.498 ; 658 ; 44.228.766 ; 4.030 ; 87.966.278 ;;;;
66;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 5 ; 11.215.486 ; 17 ; 1.707.065 ; 16 ; 7.820.378 ; 54 ; 19.912.736 ; 92 ; 40.655.666 ; 12 ; 23.678.039 ; 9 ; 22.178.382 ; 21 ; 45.856.422 ; 113 ; 86.512.087 ;;;;
67;03.609.817;BANCO CARGILL S.A.; 5 ; 38.480.740 ; 5 ; 3.548.946 ; 3 ; 90.855 ; 6 ; 675.486 ; 19 ; 42.796.027 ; 2 ; 4.000.000 ; 5 ; 38.250.000 ; 7 ; 42.250.000 ; 26 ; 85.046.027 ;;;;
