Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em AGOSTO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 107 ; 3.019.155 ; 918 ; 19.477.838 ; 2.693 ; 14.347.241 ; 2.618 ; 24.733.783 ; 6.336 ; 61.578.018 ; 4.123 ; 44.616.124 ; 433 ; 17.735.340 ; 4.556 ; 62.351.464 ; 10.892 ; 123.929.482 ;
64;00.416.968;BANCO INTER S.A.; 34 ; 9.174.764 ; 9 ; 138.433 ; 13.855 ; 51.716.910 ; 38.819 ; 25.218.991 ; 52.717 ; 86.249.099 ; 8 ; 823.186 ; 13 ; 33.325.473 ; 21 ; 34.148.659 ; 52.738 ; 120.397.758 ;
65;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 134 ; 2.988.034 ; 1.394 ; 36.952.044 ; 395 ; 9.913.371 ; 1.285 ; 17.273.198 ; 3.208 ; 67.126.646 ; 635 ; 45.628.780 ; 48 ; 4.209.249 ; 683 ; 49.838.029 ; 3.891 ; 116.964.676 ;
66;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA; 2 ; 19.178 ; 71 ; 946.144 ; 656 ; 4.014.020 ; 1.791 ; 32.460.195 ; 2.520 ; 37.439.537 ; 2.143 ; 50.699.195 ; 123 ; 21.362.336 ; 2.266 ; 72.061.531 ; 4.786 ; 109.501.068 ;
67;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 161 ; 4.036.722 ; 1.097 ; 33.631.204 ; 541 ; 10.408.751 ; 690 ; 8.911.285 ; 2.489 ; 56.987.961 ; 518 ; 36.948.237 ; 93 ; 8.905.133 ; 611 ; 45.853.370 ; 3.100 ; 102.841.332 ;
68;03.609.817;BANCO CARGILL S.A.; 16 ; 19.323.432 ;;; 17 ; 34.877.774 ; 35 ; 8.455.015 ; 68 ; 62.656.221 ;;; 3 ; 40.000.000 ; 3 ; 40.000.000 ; 71 ; 102.656.221 ;
69;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 873 ; 8.424.825 ; 4.274 ; 47.197.651 ; 5.147 ; 55.622.476 ; 3.169 ; 41.619.306 ; 858 ; 2.731.090 ; 4.027 ; 44.350.396 ; 9.174 ; 99.972.872 ;
70;71.677.850;FRENTE CORRETORA DE CÂMBIO LTDA.; 3 ; 57.800 ; 76 ; 2.209.499 ; 144 ; 2.991.493 ; 1.764 ; 35.408.232 ; 1.987 ; 40.667.024 ; 836 ; 46.723.636 ; 20 ; 10.892.727 ; 856 ; 57.616.363 ; 2.843 ; 98.283.388 ;
71;49.336.860;ING BANK N.V.;;;;; 4 ; 23.187 ; 5 ; 343.369 ; 9 ; 366.556 ; 3 ; 48.126.350 ; 6 ; 48.397.224 ; 9 ; 96.523.574 ; 18 ; 96.890.130 ;
72;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 42 ; 916.308 ; 330 ; 6.503.623 ; 1.907 ; 14.837.962 ; 3.643 ; 38.511.917 ; 5.922 ; 60.769.810 ; 1.397 ; 31.759.561 ; 42 ; 2.391.821 ; 1.439 ; 34.151.383 ; 7.361 ; 94.921.192 ;
