Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JANEIRO / 2019;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
60;13.720.915;BANCO WESTERN UNION DO BRASIL S.A.;;;;;;; 1 ; 1.106 ; 1 ; 1.106 ; 56 ; 58.604.958 ; 94 ; 58.592.282 ; 150 ; 117.197.240 ; 151 ; 117.198.346 
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 122 ; 2.337.357 ; 1.312 ; 30.432.727 ; 536 ; 7.149.646 ; 2.280 ; 25.108.011 ; 4.250 ; 65.027.740 ; 1.511 ; 48.164.554 ; 14 ; 2.103.619 ; 1.525 ; 50.268.173 ; 5.775 ; 115.295.914 
62;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 10 ; 2.790.624 ; 27 ; 1.078.467 ; 1.831 ; 47.077.962 ; 82 ; 4.571.383 ; 1.950 ; 55.518.436 ; 45 ; 4.706.530 ; 96 ; 48.925.315 ; 141 ; 53.631.844 ; 2.091 ; 109.150.281 
63;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS; 4 ; 8.550 ;;; 120 ; 149.941 ; 280 ; 1.053.761 ; 404 ; 1.212.251 ; 643 ; 53.652.368 ; 390 ; 52.758.497 ; 1.033 ; 106.410.865 ; 1.437 ; 107.623.116 
64;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 483 ; 20.470.991 ; 522 ; 15.636.108 ; 260 ; 8.838.162 ; 242 ; 23.292.993 ; 1.507 ; 68.238.255 ; 24 ; 23.035.883 ; 16 ; 8.402.127 ; 40 ; 31.438.010 ; 1.547 ; 99.676.264 
65;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;;; 13 ; 5.182.262 ; 7 ; 136.052 ; 72 ; 1.516.933 ; 92 ; 6.835.247 ; 10 ; 20.722.750 ; 15 ; 70.719.770 ; 25 ; 91.442.520 ; 117 ; 98.277.767 
66;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 44 ; 20.234.313 ; 425 ; 24.755.948 ; 80 ; 881.568 ; 69 ; 1.732.454 ; 618 ; 47.604.283 ; 134 ; 26.281.698 ; 37 ; 20.493.327 ; 171 ; 46.775.024 ; 789 ; 94.379.307 
67;03.012.230;HIPERCARD BANCO MÚLTIPLO S.A.;;;;;;;;; -   ; -   ; 1 ; 90.109.476 ;;; 1 ; 90.109.476 ; 1 ; 90.109.476 
68;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 132 ; 2.888.012 ; 1.238 ; 32.712.430 ; 452 ; 5.891.980 ; 823 ; 9.148.333 ; 2.645 ; 50.640.755 ; 434 ; 34.334.225 ; 8 ; 1.047.944 ; 442 ; 35.382.169 ; 3.087 ; 86.022.924 
69;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 6 ; 12.429.424 ; 38 ; 22.956.416 ; 4 ; 7.773.105 ; 21 ; 849.954 ; 69 ; 44.008.899 ; 14 ; 20.394.962 ; 12 ; 17.926.502 ; 26 ; 38.321.464 ; 95 ; 82.330.363 
70;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 75 ; 1.318.189 ; 1.295 ; 29.004.873 ; 310 ; 5.947.132 ; 1.149 ; 9.567.227 ; 2.829 ; 45.837.422 ; 558 ; 32.086.833 ; 5 ; 593.015 ; 563 ; 32.679.848 ; 3.392 ; 78.517.269 
71;92.894.922;BANCO ORIGINAL S.A.; 16 ; 35.124.661 ; 14 ; 3.527.431 ; 46 ; 42.573 ; 239 ; 8.410.717 ; 315 ; 47.105.382 ; 4 ; 8.795.680 ; 3 ; 19.000.000 ; 7 ; 27.795.680 ; 322 ; 74.901.062 
72;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 19 ; 24.721.844 ; 15 ; 1.264.961 ; 16 ; 8.229.892 ; 55 ; 1.754.140 ; 105 ; 35.970.836 ; 10 ; 2.060.260 ; 23 ; 31.865.898 ; 33 ; 33.926.158 ; 138 ; 69.896.994 
73;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 11 ; 6.836.403 ; 20 ; 9.605.606 ; 15 ; 17.939.113 ; 40 ; 4.192.223 ; 86 ; 38.573.346 ; 10 ; 7.917.025 ; 11 ; 19.916.169 ; 21 ; 27.833.194 ; 107 ; 66.406.541 
