Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Departamento de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de operações de câmbio contratadas em setembro/2025.;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Conglomerado ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
49;28.811.341;STONEX BANCO DE CÂMBIO S.A.;STONEX DTVM - PRUDENCIAL; 108 ; 10.936.615 ; 119 ; 11.899.582 ; 5.008 ; 126.149.706 ; 266 ; 27.091.511 ; 5.501 ; 176.077.414 ; 190 ; 73.483.937 ; 347 ; 171.573.883 ; 537 ; 245.057.820 ; 6.038 ; 421.135.234 ;
50;92.894.922;BANCO ORIGINAL S.A.;ORIGINAL - PRUDENCIAL; -   ; -   ; 34 ; 104.221.180 ; 28 ; 29.118.597 ; 94 ; 42.728.852 ; 156 ; 176.068.629 ; 18 ; 201.986.082 ; 11 ; 26.989.425 ; 29 ; 228.975.507 ; 185 ; 405.044.136 ;
51;00.997.185;BANCO B3 S.A.;BANCO B3 - PRUDENCIAL; -   ; -   ; -   ; -   ; 101 ; 90.854.034 ; 76 ; 112.170.648 ; 177 ; 203.024.682 ; 50 ; 110.862.910 ; 54 ; 89.472.824 ; 104 ; 200.335.734 ; 281 ; 403.360.416 ;
52;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.;BR PARTNERS - PRUDENCIAL; 2 ; 153.500.000 ; 1 ; 325.060 ; 48 ; 93.371 ; 55 ; 5.190.824 ; 106 ; 159.109.255 ; 1 ; 2.000.000 ; 1 ; 150.000.000 ; 2 ; 152.000.000 ; 108 ; 311.109.255 ;
53;45.246.410;BANCO GENIAL S.A.;GENIAL - PRUDENCIAL; 6 ; 1.518.014 ; 82 ; 4.182.819 ; 398 ; 60.302.134 ; 609 ; 144.277.451 ; 1.095 ; 210.280.418 ; 50 ; 91.439.675 ; 9 ; 5.925.161 ; 59 ; 97.364.836 ; 1.154 ; 307.645.254 ;
54;62.144.175;BANCO PINE S.A.;PINE - PRUDENCIAL; 50 ; 59.205.104 ; 586 ; 86.853.399 ; 27 ; 4.202.648 ; 162 ; 16.536.540 ; 825 ; 166.797.691 ; 36 ; 74.701.098 ; 43 ; 49.097.351 ; 79 ; 123.798.449 ; 904 ; 290.596.140 ;
55;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA;ADVANCED CC LTDA - PRUDENCIAL; 192 ; 5.785.158 ; 3.181 ; 52.354.192 ; 1.716 ; 34.689.232 ; 2.600 ; 46.580.742 ; 7.689 ; 139.409.324 ; 376 ; 101.923.001 ; 68 ; 44.452.082 ; 444 ; 146.375.083 ; 8.133 ; 285.784.407 ;
56;01.181.521;BANCO COOPERATIVO SICREDI S.A.;BCO COOPERATIVO SICREDI - PRUDENCIAL; 1.152 ; 51.937.936 ; 1.684 ; 56.601.735 ; 1.192 ; 23.276.486 ; 471 ; 53.647.983 ; 4.499 ; 185.464.140 ; 19 ; 49.510.279 ; 8 ; 8.279.899 ; 27 ; 57.790.178 ; 4.526 ; 243.254.318 ;
57;00.416.968;BANCO INTER S.A.;INTER - PRUDENCIAL; 99 ; 4.448.723 ; 474 ; 1.657.844 ; 88.987 ; 117.196.357 ; 255.871 ; 88.991.460 ; 345.431 ; 212.294.384 ; 4 ; 4.184.700 ; 8 ; 21.475.950 ; 12 ; 25.660.650 ; 345.443 ; 237.955.034 ;
58;61.186.680;BANCO BMG S.A.;BMG - PRUDENCIAL; 22 ; 96.857.390 ; 1 ; 429.875 ; 7 ; 2.187.846 ; 62 ; 19.766.976 ; 92 ; 119.242.087 ; 7 ; 18.950.490 ; 17 ; 96.678.686 ; 24 ; 115.629.176 ; 116 ; 234.871.263 ;
