Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Fev/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
55;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 42 ; 8.309.183 ; 103 ; 3.309.070 ; 6.535 ; 174.437.452 ; 414 ; 10.287.257 ; 7.094 ; 196.342.962 ; 121 ; 8.141.712 ; 332 ; 177.267.293 ; 453 ; 185.409.005 ; 7.547 ; 381.751.967 ;
56;00.416.968;BANCO INTER S.A.; 32 ; 19.540.250 ; 26 ; 597.591 ; 15.441 ; 32.666.189 ; 13.368 ; 149.784.376 ; 28.867 ; 202.588.406 ; 65 ; 144.298.573 ; 38 ; 27.760.513 ; 103 ; 172.059.086 ; 28.970 ; 374.647.492 ;
57;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 45 ; 105.108.896 ;;; 44 ; 18.768.341 ; 5 ; 10.437 ; 94 ; 123.887.675 ; 2 ; 250.034.323 ;;; 2 ; 250.034.323 ; 96 ; 373.921.998 ;
58;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 8 ; 61.233.673 ; 38 ; 5.153.332 ; 73 ; 114.206.456 ; 93 ; 9.172.175 ; 212 ; 189.765.637 ; 18 ; 6.505.361 ; 17 ; 177.385.383 ; 35 ; 183.890.744 ; 247 ; 373.656.381 ;
59;45.246.410;BANCO GENIAL S.A.; 70 ; 7.041.940 ; 44 ; 9.843.525 ; 512 ; 74.757.541 ; 726 ; 115.590.912 ; 1.352 ; 207.233.919 ; 38 ; 84.567.588 ; 9 ; 41.010.601 ; 47 ; 125.578.188 ; 1.399 ; 332.812.107 ;
60;30.723.886;BANCO MODAL S.A.; 17 ; 2.668.579 ; 114 ; 25.255.484 ; 210 ; 64.811.555 ; 355 ; 118.087.559 ; 696 ; 210.823.177 ; 10 ; 88.868.971 ; 3 ; 10.004.375 ; 13 ; 98.873.346 ; 709 ; 309.696.523 ;
61;61.186.680;BANCO BMG S.A.; 4 ; 3.544.515 ; 2 ; 1.782.251 ; 36 ; 10.805.375 ; 79 ; 5.876.739 ; 121 ; 22.008.881 ; 6 ; 120.595.445 ; 9 ; 135.544.515 ; 15 ; 256.139.960 ; 136 ; 278.148.842 ;
62;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 10 ; 129.300.000 ; 7 ; 1.371.458 ; 1 ; 20.000 ; 24 ; 130.125 ; 42 ; 130.821.583 ; 20 ; 10.209.697 ; 27 ; 129.395.057 ; 47 ; 139.604.754 ; 89 ; 270.426.337 ;
63;49.336.860;ING BANK N.V.;;;;; 4 ; 586.191 ; 15 ; 162.118 ; 19 ; 748.308 ; 6 ; 133.384.323 ; 5 ; 133.673.809 ; 11 ; 267.058.131 ; 30 ; 267.806.440 ;
64;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 231 ; 5.483.419 ; 1.932 ; 61.783.120 ; 967 ; 22.276.112 ; 2.931 ; 45.158.419 ; 6.061 ; 134.701.070 ; 1.994 ; 106.086.032 ; 96 ; 27.018.807 ; 2.090 ; 133.104.839 ; 8.151 ; 267.805.909 ;
65;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 27 ; 39.176.884 ; 35 ; 12.901.233 ; 21 ; 10.391.961 ; 135 ; 20.279.452 ; 218 ; 82.749.531 ; 27 ; 67.694.433 ; 33 ; 96.192.778 ; 60 ; 163.887.211 ; 278 ; 246.636.742 ;
66;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 161 ; 3.447.650 ; 1.409 ; 35.621.521 ; 3.728 ; 18.503.704 ; 3.492 ; 43.479.431 ; 8.790 ; 101.052.305 ; 4.603 ; 76.735.793 ; 571 ; 19.440.892 ; 5.174 ; 96.176.684 ; 13.964 ; 197.228.990 ;
67;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 252 ; 5.335.692 ; 2.377 ; 64.852.639 ; 654 ; 10.436.017 ; 2.191 ; 26.277.835 ; 5.474 ; 106.902.182 ; 1.026 ; 80.151.851 ; 46 ; 4.875.056 ; 1.072 ; 85.026.907 ; 6.546 ; 191.929.089 ;
68;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 295 ; 7.876.260 ; 1.545 ; 56.700.686 ; 946 ; 16.155.481 ; 1.276 ; 21.296.429 ; 4.062 ; 102.028.855 ; 896 ; 67.859.490 ; 134 ; 13.881.154 ; 1.030 ; 81.740.644 ; 5.092 ; 183.769.499 ;
69;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 14.407 ; 69.611.926 ; 20.980 ; 82.207.077 ; 35.387 ; 151.819.003 ; 122 ; 19.087.750 ; 370 ; 9.137.602 ; 492 ; 28.225.352 ; 35.879 ; 180.044.355 ;
70;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 1.524 ; 16.762.654 ; 6.843 ; 75.455.902 ; 8.367 ; 92.218.556 ; 4.361 ; 66.039.246 ; 2.057 ; 7.485.091 ; 6.418 ; 73.524.337 ; 14.785 ; 165.742.894 ;
