Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Set/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
48;62.144.175;BANCO PINE S.A.; 117 ; 343.780.269 ; 418 ; 239.047.043 ; 68 ; 209.834.640 ; 692 ; 254.415.920 ; 1.295 ; 1.047.077.872 ; 34 ; 447.476.974 ; 36 ; 650.701.499 ; 70,0 ; 1.098.178.473 ; 1.365 ; 2.145.256.345 ;
49;33.884.941;BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.; 51 ; 3.017.925 ; 313 ; 12.639.877 ; 283 ; 58.655.992 ; 1.492 ; 106.268.249 ; 2.139 ; 180.582.042 ; 438 ; 959.170.991 ; 525 ; 904.667.367 ; 963,0 ; 1.863.838.358 ; 3.102 ; 2.044.420.401 ;
50;33.923.798;BANCO MµXIMA S.A.; 356 ; 9.593.581 ; 2.994 ; 128.694.153 ; 559 ; 115.167.244 ; 2.266 ; 181.789.510 ; 6.175 ; 435.244.488 ; 2.315 ; 896.515.967 ; 10.971 ; 705.966.295 ; 13.286,0 ; 1.602.482.262 ; 19.461 ; 2.037.726.750 ;
51;30.723.886;BANCO MODAL S.A.; 91 ; 23.776.615 ; 574 ; 60.906.766 ; 113 ; 293.883.066 ; 420 ; 45.415.438 ; 1.198 ; 423.981.884 ; 199 ; 693.193.863 ; 201 ; 906.198.058 ; 400,0 ; 1.599.391.921 ; 1.598 ; 2.023.373.805 ;
52;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 67 ; 849.177 ; 877 ; 21.532.597 ; 3.512 ; 28.121.130 ; 16.280 ; 288.404.447 ; 20.736 ; 338.907.351 ; 16.647 ; 839.312.678 ; 2.953 ; 559.555.336 ; 19.600,0 ; 1.398.868.013 ; 40.336 ; 1.737.775.365 ;
53;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 373 ; 12.099.131 ; 11.047 ; 491.865.854 ; 2.386 ; 21.920.305 ; 27.160 ; 345.225.797 ; 40.966 ; 871.111.086 ; 8.974 ; 822.252.716 ; 182 ; 20.862.902 ; 9.156,0 ; 843.115.618 ; 50.122 ; 1.714.226.704 ;
54;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 36 ; 1.337.934 ; 10.203 ; 744.050.272 ; 2.446 ; 13.671.561 ; 32.976 ; 74.441.349 ; 45.661 ; 833.501.117 ; 7.272 ; 813.227.167 ; 238 ; 9.428.658 ; 7.510,0 ; 822.655.825 ; 53.171 ; 1.656.156.942 ;
55;58.616.418;BANCO FIBRA S.A.; 553 ; 125.834.102 ; 1.579 ; 118.627.775 ; 817 ; 224.778.282 ; 1.940 ; 459.956.664 ; 4.889 ; 929.196.823 ; 345 ; 547.226.000 ; 213 ; 150.900.105 ; 558,0 ; 698.126.105 ; 5.447 ; 1.627.322.928 ;
56;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 135 ; 3.250.383 ; 836 ; 11.724.739 ; 9.854 ; 99.945.471 ; 60.559 ; 793.337.633 ; 71.384 ; 908.258.226 ; 6.774 ; 703.862.507 ; 68 ; 1.510.606 ; 6.842,0 ; 705.373.112 ; 78.226 ; 1.613.631.339 ;
57;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 61 ; 233.243.624 ; 109 ; 184.501.660 ; 43 ; 271.197.229 ; 408 ; 117.328.422 ; 621 ; 806.270.935 ; 65 ; 299.214.668 ; 77 ; 504.431.526 ; 142,0 ; 803.646.193 ; 763 ; 1.609.917.128 ;
58;61.088.183;BANCO MIZUHO DO BRASIL S.A.; 111 ; 240.751.119 ; 65 ; 26.054.712 ; 112 ; 258.720.252 ; 177 ; 25.340.252 ; 465 ; 550.866.334 ; 189 ; 307.276.313 ; 230 ; 504.857.648 ; 419,0 ; 812.133.960 ; 884 ; 1.363.000.295 ;
59;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 17 ; 225.893 ; 1.619 ; 47.831.695 ; 1.282 ; 8.538.767 ; 8.731 ; 513.557.319 ; 11.649 ; 570.153.673 ; 9.353 ; 631.841.769 ; 848 ; 79.158.435 ; 10.201,0 ; 711.000.204 ; 21.850 ; 1.281.153.877 ;
60;03.609.817;BANCO CARGILL S.A.; 69 ; 495.350.559 ; 61 ; 53.719.675 ; 15 ; 17.591.888 ; 117 ; 46.645.419 ; 262 ; 613.307.540 ; 27 ; 87.175.000 ; 44 ; 487.250.000 ; 71,0 ; 574.425.000 ; 333 ; 1.187.732.540 ;
61;00.997.185;BANCO BM&FBOVESPA DE SERVIÄOS DE LIQUIDAÄ«O E CUST‡DIA S.A.;;;;; 346 ; 276.650.326 ; 251 ; 306.196.404 ; 597 ; 582.846.730 ; 199 ; 310.078.300 ; 209 ; 280.430.000 ; 408,0 ; 590.508.300 ; 1.005 ; 1.173.355.030 ;
62;17.453.575;ICBC DO BRASIL BANCO MÈLTIPLO S.A.; 43 ; 198.241.353 ; 23 ; 49.621.197 ; 38 ; 354.689.866 ; 47 ; 3.852.568 ; 151 ; 606.404.984 ; 16 ; 21.441.800 ; 62 ; 534.411.000 ; 78,0 ; 555.852.800 ; 229 ; 1.162.257.784 ;
63;17.184.037;BANCO MERCANTIL DO BRASIL S.A.; 73 ; 20.005.471 ; 237 ; 15.675.217 ; 293 ; 8.748.539 ; 1.023 ; 72.138.767 ; 1.626 ; 116.567.994 ; 683 ; 546.430.052 ; 379 ; 480.024.351 ; 1.062,0 ; 1.026.454.403 ; 2.688 ; 1.143.022.397 ;
