Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
57;61.024.352;BANCO VOITER S.A.; 65 ; 85.561.534 ; 343 ; 123.087.465 ; 793 ; 132.720.674 ; 2.902 ; 181.905.939 ; 4.103 ; 523.275.611 ; 159 ; 134.466.095 ; 138 ; 31.478.415 ; 297 ; 165.944.510 ; 4.400 ; 689.220.120 ;
58;62.144.175;BANCO PINE S.A.; 75 ; 88.517.038 ; 448 ; 133.509.361 ; 65 ; 22.556.408 ; 784 ; 54.258.635 ; 1.372 ; 298.841.443 ; 49 ; 199.224.469 ; 46 ; 86.393.549 ; 95 ; 285.618.018 ; 1.467 ; 584.459.460 ;
59;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 3 ; 433.235 ; 18 ; 743.438 ; 2.437 ; 120.815.016 ; 11.922 ; 266.445.417 ; 14.380 ; 388.437.106 ; 2.197 ; 169.964.594 ; 46 ; 25.205.942 ; 2.243 ; 195.170.537 ; 16.623 ; 583.607.642 ;
60;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 16 ; 118.776.247 ; 12 ; 5.320.702 ; 7 ; 202.338 ; 37 ; 973.741 ; 72 ; 125.273.028 ; 25 ; 172.840.675 ; 35 ; 284.277.284 ; 60 ; 457.117.959 ; 132 ; 582.390.987 ;
61;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 463 ; 13.375.575 ; 3.188 ; 109.865.713 ; 6.705 ; 55.005.924 ; 14.773 ; 104.677.841 ; 25.129 ; 282.925.052 ; 2.693 ; 217.790.653 ; 268 ; 71.628.863 ; 2.961 ; 289.419.516 ; 28.090 ; 572.344.568 ;
62;00.416.968;BANCO INTER S.A.; 32 ; 4.896.713 ; 39 ; 599.583 ; 50.074 ; 264.120.203 ; 104.153 ; 206.835.414 ; 154.298 ; 476.451.914 ; 28 ; 13.146.782 ; 36 ; 81.509.507 ; 64 ; 94.656.289 ; 154.362 ; 571.108.203 ;
63;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 527.155 ; 174.353.424 ; 812.673 ; 236.960.625 ; 1.339.828 ; 411.314.049 ; 398 ; 91.889.420 ; 633 ; 25.815.290 ; 1.031 ; 117.704.710 ; 1.340.859 ; 529.018.759 ;
64;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 74 ; 98.751.906 ; 72 ; 61.472.890 ; 42 ; 3.255.348 ; 268 ; 60.028.716 ; 456 ; 223.508.860 ; 52 ; 152.911.571 ; 47 ; 129.397.960 ; 99 ; 282.309.531 ; 555 ; 505.818.391 ;
65;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 47 ; 4.593.866 ; 318 ; 33.865.922 ; 30.121 ; 60.092.396 ; 55.009 ; 144.559.565 ; 85.495 ; 243.111.750 ; 14.282 ; 177.846.279 ; 1.486 ; 64.081.441 ; 15.768 ; 241.927.720 ; 101.263 ; 485.039.470 ;
66;45.246.410;BANCO GENIAL S.A.; 42 ; 2.857.957 ; 151 ; 16.431.680 ; 1.104 ; 110.283.692 ; 1.358 ; 195.748.564 ; 2.655 ; 325.321.893 ; 57 ; 103.640.558 ; 7 ; 5.358.562 ; 64 ; 108.999.120 ; 2.719 ; 434.321.013 ;
