Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2020;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
56;28.811.341;INTL FCSTONE BANCO DE CÂMBIO S.A.; 128 ; 15.393.382 ; 206 ; 12.195.180 ; 21.546 ; 449.006.119 ; 1.569 ; 45.644.769 ; 23.449 ; 522.239.450 ; 478 ; 39.298.565 ; 930 ; 445.857.021 ; 1.408 ; 485.155.586 ; 24.857 ; 1.007.395.036 ;;;;
57;59.285.411;BANCO PAN S.A.;;;;; 54 ; 673.712 ; 169 ; 481.089.468 ; 223 ; 481.763.180 ; 22 ; 480.455.660 ;;; 22 ; 480.455.660 ; 245 ; 962.218.840 ;;;;
58;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 43 ; 218.995.072 ; 111 ; 75.152.271 ; 18 ; 46.632.987 ; 773 ; 81.081.811 ; 945 ; 421.862.142 ; 53 ; 198.440.000 ; 58 ; 304.100.000 ; 111 ; 502.540.000 ; 1.056 ; 924.402.142 ;;;;
59;92.894.922;BANCO ORIGINAL S.A.; 148 ; 235.215.606 ; 81 ; 43.441.475 ; 376 ; 4.195.330 ; 923 ; 72.197.122 ; 1.528 ; 355.049.533 ; 34 ; 32.423.446 ; 54 ; 520.423.212 ; 88 ; 552.846.657 ; 1.616 ; 907.896.190 ;;;;
60;61.186.680;BANCO BMG S.A.; 39 ; 31.214.873 ; 11 ; 7.176.644 ; 11 ; 7.501.506 ; 287 ; 203.560.198 ; 348 ; 249.453.222 ; 23 ; 393.968.537 ; 19 ; 251.930.180 ; 42 ; 645.898.717 ; 390 ; 895.351.939 ;;;;
61;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 50 ; 153.649.438 ; 102 ; 7.701.182 ; 105 ; 83.908.117 ; 355 ; 32.052.538 ; 612 ; 277.311.275 ; 63 ; 204.982.988 ; 86 ; 397.101.722 ; 149 ; 602.084.710 ; 761 ; 879.395.985 ;;;;
62;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 10 ; 72.807.540 ; 97 ; 66.180.358 ; 342 ; 228.275.357 ; 513 ; 245.508.594 ; 962 ; 612.771.848 ; 185 ; 135.876.064 ; 66 ; 125.271.518 ; 251 ; 261.147.581 ; 1.213 ; 873.919.430 ;;;;
63;31.872.495;BANCO C6 S.A.; 42 ; 7.159.396 ; 466 ; 58.891.958 ; 1.445 ; 36.181.102 ; 19.417 ; 127.035.833 ; 21.370 ; 229.268.289 ; 139 ; 330.358.095 ; 298 ; 182.070.530 ; 437 ; 512.428.625 ; 21.807 ; 741.696.913 ;;;;
64;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 257 ; 283.173.362 ; 429 ; 29.525.877 ; 407 ; 24.718.581 ; 492 ; 37.003.685 ; 1.585 ; 374.421.505 ; 356 ; 55.596.182 ; 262 ; 298.542.064 ; 618 ; 354.138.246 ; 2.203 ; 728.559.751 ;;;;
65;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 19.007 ; 260.348.781 ; 66.679 ; 279.784.417 ; 85.686 ; 540.133.198 ; 637 ; 77.107.121 ; 1.088 ; 58.182.044 ; 1.725 ; 135.289.166 ; 87.411 ; 675.422.364 ;;;;
