Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalizaá∆o - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de CÉmbio - Ranking Mensal das Instituiá‰es Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
CÉmbio Contratado - Acumulado Jan-Ago/2014;;;;;;;;;;;;;;;;;;;;;
Rank ;C¢digo Instit.; Nome da Instituiá∆o ; Exportaá∆o ;; Importaá∆o ;; Transferància do Exterior ;; Transferància p/ Exterior ;; Total do Mercado Prim†rio ;; Interbanc†rio - Compra ;; Interbanc†rio - Venda ;; Total do Mercado Interbanc†rio ;; Total ;;
;;; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ; Nß Oper. ; Valor (US$) ;
52;74.451.022;TOV CORRETORA DE C∂MBIO, T÷TULOS E VALORES MOBILIµRIOS LTDA; 331 ; 10.478.889 ; 10.180 ; 465.569.910 ; 2.306 ; 26.157.414 ; 23.086 ; 308.002.470 ; 35.903 ; 810.208.683 ; 8.218 ; 753.038.165 ; 174 ; 17.478.593 ; 8.392,0 ; 770.516.759 ; 44.295 ; 1.580.725.442 ;
53;58.616.418;BANCO FIBRA S.A.; 474 ; 113.210.569 ; 1.452 ; 111.754.974 ; 734 ; 219.525.077 ; 1.824 ; 453.345.195 ; 4.484 ; 897.835.814 ; 307 ; 532.718.105 ; 184 ; 133.276.302 ; 491,0 ; 665.994.407 ; 4.975 ; 1.563.830.221 ;
54;02.992.317;TREVISO CORRETORA DE C∂MBIO S.A.; 57 ; 754.336 ; 758 ; 19.666.619 ; 3.129 ; 25.363.586 ; 14.666 ; 258.261.704 ; 18.610 ; 304.046.245 ; 14.665 ; 746.927.787 ; 2.622 ; 496.427.877 ; 17.287,0 ; 1.243.355.664 ; 35.897 ; 1.547.401.910 ;
55;29.030.467;SCOTIABANK BRASIL S.A. BANCO MÈLTIPLO; 54 ; 221.147.381 ; 90 ; 150.617.303 ; 41 ; 253.239.058 ; 350 ; 108.898.209 ; 535 ; 733.901.950 ; 56 ; 270.072.890 ; 71 ; 484.544.756 ; 127,0 ; 754.617.646 ; 662 ; 1.488.519.596 ;
56;06.917.793;PREVIBANK S.A. DISTRIBUIDORA DE T÷TULOS E VALORES MOBILIµRIOS; 30 ; 1.084.120 ; 9.061 ; 664.345.224 ; 2.232 ; 11.787.706 ; 28.368 ; 60.372.815 ; 39.691 ; 737.589.864 ; 6.384 ; 720.332.060 ; 202 ; 7.754.273 ; 6.586,0 ; 728.086.334 ; 46.277 ; 1.465.676.197 ;
57;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 119 ; 3.031.645 ; 718 ; 10.191.482 ; 8.494 ; 89.296.471 ; 53.049 ; 697.929.957 ; 62.380 ; 800.449.555 ; 5.939 ; 617.273.664 ; 55 ; 1.296.876 ; 5.994,0 ; 618.570.539 ; 68.374 ; 1.419.020.094 ;
58;16.944.141;BROKER BRASIL CORRETORA DE C∂MBIO LTDA.; 9 ; 142.095 ; 1.292 ; 38.132.494 ; 1.117 ; 6.314.252 ; 7.857 ; 475.418.287 ; 10.275 ; 520.007.128 ; 8.141 ; 574.288.285 ; 715 ; 67.121.256 ; 8.856,0 ; 641.409.540 ; 19.131 ; 1.161.416.669 ;
59;17.453.575;ICBC DO BRASIL BANCO MÈLTIPLO S.A.; 41 ; 164.333.333 ; 15 ; 36.654.196 ; 34 ; 354.610.972 ; 41 ; 3.224.120 ; 131 ; 558.822.621 ; 10 ; 7.666.000 ; 60 ; 500.511.000 ; 70,0 ; 508.177.000 ; 201 ; 1.066.999.621 ;
60;03.609.817;BANCO CARGILL S.A.; 53 ; 443.616.250 ; 57 ; 46.690.955 ; 12 ; 12.604.516 ; 91 ; 39.699.169 ; 213 ; 542.610.890 ; 22 ; 75.675.000 ; 40 ; 434.750.000 ; 62,0 ; 510.425.000 ; 275 ; 1.053.035.890 ;
61;92.856.905;ADVANCED CORRETORA DE C∂MBIO LTDA; 574 ; 15.762.780 ; 9.402 ; 297.516.243 ; 5.365 ; 74.293.536 ; 19.562 ; 186.334.369 ; 34.903 ; 573.906.928 ; 4.110 ; 419.264.287 ; 436 ; 24.590.049 ; 4.546,0 ; 443.854.336 ; 39.449 ; 1.017.761.264 ;
