Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em JULHO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;03.609.817;BANCO CARGILL S.A.; 25 ; 105.195.016 ;;; 13 ; 19.581.366 ; 37 ; 12.511.419 ; 75 ; 137.287.801 ; 1 ; 50.000.000 ; 3 ; 100.000.000 ; 4 ; 150.000.000 ; 79 ; 287.287.801 ;
48;15.114.366;BANCO BOCOM BBM S.A.; 14 ; 9.549.785 ; 54 ; 5.891.462 ; 45 ; 46.109.737 ; 215 ; 85.121.131 ; 328 ; 146.672.115 ; 8 ; 56.719.091 ; 7 ; 54.695.387 ; 15 ; 111.414.478 ; 343 ; 258.086.592 ;
49;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 196 ; 7.258.346 ; 1.720 ; 39.590.372 ; 2.005 ; 32.419.771 ; 3.871 ; 69.044.959 ; 7.792 ; 148.313.449 ; 463 ; 87.284.670 ; 122 ; 18.059.631 ; 585 ; 105.344.301 ; 8.377 ; 253.657.750 ;
50;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 24 ; 75.333.102 ;;; 31 ; 13.106.122 ; 1 ; 19.737 ; 56 ; 88.458.962 ; 1 ; 150.000.000 ; 4 ; 497.870 ; 5 ; 150.497.870 ; 61 ; 238.956.832 ;
51;45.246.410;BANCO GENIAL S.A.; 22 ; 9.144.089 ; 38 ; 11.032.605 ; 283 ; 90.069.392 ; 286 ; 37.727.675 ; 629 ; 147.973.761 ; 14 ; 10.687.710 ; 13 ; 60.807.802 ; 27 ; 71.495.512 ; 656 ; 219.469.273 ;
52;00.997.185;BANCO B3 S.A.;;;;; 146 ; 57.559.334 ; 144 ; 86.998.548 ; 290 ; 144.557.882 ; 35 ; 46.049.092 ; 30 ; 16.557.751 ; 65 ; 62.606.843 ; 355 ; 207.164.725 ;
53;61.186.680;BANCO BMG S.A.; 5 ; 8.278.793 ; 1 ; 1.817.685 ; 30 ; 3.033.908 ; 55 ; 11.357.106 ; 91 ; 24.487.492 ; 9 ; 101.007.800 ; 4 ; 80.762.431 ; 13 ; 181.770.231 ; 104 ; 206.257.723 ;
54;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 183 ; 5.484.515 ; 779 ; 24.593.900 ; 4.036 ; 27.960.142 ; 3.166 ; 51.647.059 ; 8.164 ; 109.685.616 ; 1.729 ; 65.243.106 ; 144 ; 22.586.939 ; 1.873 ; 87.830.045 ; 10.037 ; 197.515.660 ;
55;61.024.352;BANCO VOITER S.A.; 30 ; 34.665.112 ; 179 ; 26.800.335 ; 129 ; 27.957.190 ; 578 ; 34.802.915 ; 916 ; 124.225.552 ; 45 ; 33.187.163 ; 43 ; 29.437.841 ; 88 ; 62.625.004 ; 1.004 ; 186.850.556 ;
56;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 641 ; 55.326.617 ; 431 ; 28.511.775 ; 355 ; 9.789.229 ; 505 ; 13.944.004 ; 1.932 ; 107.571.625 ; 27 ; 21.933.250 ; 54 ; 44.626.896 ; 81 ; 66.560.145 ; 2.013 ; 174.131.770 ;
57;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 917 ; 51.097.311 ; 862 ; 40.561.759 ; 722 ; 17.568.315 ; 382 ; 18.023.751 ; 2.883 ; 127.251.137 ; 17 ; 13.342.828 ; 17 ; 22.824.285 ; 34 ; 36.167.113 ; 2.917 ; 163.418.250 ;
58;00.416.968;BANCO INTER S.A.; 29 ; 823.299 ; 6 ; 355.952 ; 29.955 ; 70.545.211 ; 34.262 ; 20.285.654 ; 64.252 ; 92.010.116 ; 6 ; 950.191 ; 15 ; 55.154.793 ; 21 ; 56.104.983 ; 64.273 ; 148.115.100 ;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 123 ; 2.100.010 ; 982 ; 34.647.554 ; 673 ; 13.104.028 ; 1.466 ; 18.399.881 ; 3.244 ; 68.251.472 ; 794 ; 55.016.973 ; 69 ; 17.066.523 ; 863 ; 72.083.496 ; 4.107 ; 140.334.969 ;
60;10.690.848;BANCO DA CHINA BRASIL S.A.; 17 ; 33.881.456 ; 18 ; 2.670.258 ; 31 ; 3.497.218 ; 76 ; 24.820.747 ; 142 ; 64.869.680 ; 43 ; 29.392.858 ; 34 ; 39.308.298 ; 77 ; 68.701.156 ; 219 ; 133.570.836 ;
61;60.889.128;BANCO SOFISA S.A.; 184 ; 41.113.568 ; 56 ; 6.066.285 ; 26 ; 4.924.618 ; 94 ; 3.968.600 ; 360 ; 56.073.071 ; 9 ; 18.849.747 ; 19 ; 53.231.468 ; 28 ; 72.081.215 ; 388 ; 128.154.286 ;
62;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 11.335 ; 40.588.462 ; 18.475 ; 59.186.760 ; 29.810 ; 99.775.223 ; 94 ; 22.224.269 ; 295 ; 5.134.335 ; 389 ; 27.358.604 ; 30.199 ; 127.133.826 ;
63;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 99 ; 2.415.692 ; 772 ; 17.792.837 ; 2.425 ; 10.705.964 ; 1.938 ; 24.286.666 ; 5.234 ; 55.201.158 ; 3.490 ; 41.897.462 ; 407 ; 12.926.090 ; 3.897 ; 54.823.552 ; 9.131 ; 110.024.711 ;
