Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em FEVEREIRO / 2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
52;30.723.886;BANCO MODAL S.A.; 9 ; 1.283.151 ; 67 ; 11.872.723 ; 113 ; 47.488.741 ; 198 ; 78.880.011 ; 387 ; 139.524.627 ; 6 ; 43.868.971 ; 2 ; 5.004.375 ; 8 ; 48.873.346 ; 395 ; 188.397.973 ;
53;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 22 ; 4.235.255 ; 41 ; 1.296.223 ; 3.054 ; 81.844.306 ; 238 ; 6.283.553 ; 3.355 ; 93.659.336 ; 71 ; 4.213.319 ; 159 ; 82.687.786 ; 230 ; 86.901.104 ; 3.585 ; 180.560.441 ;
54;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 571 ; 61.443.518 ; 397 ; 25.176.854 ; 349 ; 17.713.579 ; 548 ; 15.656.408 ; 1.865 ; 119.990.359 ; 8 ; 9.637.644 ; 19 ; 49.430.615 ; 27 ; 59.068.259 ; 1.892 ; 179.058.618 ;
55;15.114.366;BANCO BOCOM BBM S.A.; 9 ; 1.392.938 ; 122 ; 19.081.722 ; 28 ; 19.618.602 ; 237 ; 29.791.128 ; 396 ; 69.884.391 ; 15 ; 81.361.646 ; 9 ; 18.319.689 ; 24 ; 99.681.335 ; 420 ; 169.565.726 ;
56;61.186.680;BANCO BMG S.A.; 3 ; 2.644.515 ; 2 ; 1.782.251 ; 19 ; 10.382.092 ; 31 ; 2.090.300 ; 55 ; 16.899.159 ; 2 ; 59.000.000 ; 6 ; 84.644.515 ; 8 ; 143.644.515 ; 63 ; 160.543.674 ;
57;45.246.410;BANCO GENIAL S.A.; 32 ; 3.328.168 ; 24 ; 5.709.050 ; 259 ; 27.313.973 ; 359 ; 61.532.147 ; 674 ; 97.883.338 ; 19 ; 44.385.544 ; 3 ; 11.022.222 ; 22 ; 55.407.766 ; 696 ; 153.291.104 ;
58;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 124 ; 2.629.923 ; 891 ; 27.997.846 ; 473 ; 11.949.113 ; 1.515 ; 24.552.960 ; 3.003 ; 67.129.842 ; 1.140 ; 54.479.936 ; 61 ; 16.598.552 ; 1.201 ; 71.078.487 ; 4.204 ; 138.208.329 ;
59;03.609.817;BANCO CARGILL S.A.; 7 ; 36.124.486 ;;; 6 ; 5.920.152 ; 72 ; 29.020.173 ; 85 ; 71.064.810 ; 2 ; 20.000.000 ; 1 ; 30.000.000 ; 3 ; 50.000.000 ; 88 ; 121.064.810 ;
60;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 16 ; 15.993.098 ; 14 ; 2.009.345 ; 14 ; 8.865.980 ; 72 ; 12.558.277 ; 116 ; 39.426.699 ; 17 ; 36.468.993 ; 19 ; 43.967.246 ; 36 ; 80.436.239 ; 152 ; 119.862.938 ;
61;07.237.373;BANCO DO NORDESTE DO BRASIL S.A.; 20 ; 3.534.554 ; 19 ; 525.413 ; 6 ; 2.528.231 ; 36 ; 50.350.131 ; 81 ; 56.938.328 ; 6 ; 53.055.049 ; 14 ; 8.265.729 ; 20 ; 61.320.778 ; 101 ; 118.259.106 ;
