Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jun/2021;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
74;92.894.922;BANCO ORIGINAL S.A.;19;3.227.707;40;51.733.817;272;66.558.801;641;111.090.755;972;232.611.080;36;127.638.903;32;115.638.885;68;243.277.788;1.040;475.888.868
75;2.992.317;TREVISO CORRETORA DE CÂMBIO S.A.;471;8.387.486;4.600;113.549.576;3.266;34.090.288;7.575;73.184.583;15.912;229.211.932;7.716;187.954.463;1.200;43.511.347;8.916;231.465.810;24.828;460.677.743
76;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.;75;97.010.880;106;37.110.318;54;76.112.823;296;59.315.984;531;269.550.005;25;63.481.831;30;123.980.292;55;187.462.122;586;457.012.128
77;61.186.680;BANCO BMG S.A.;14;24.519.871;10;9.471.411;72;2.913.040;205;11.957.048;301;48.861.370;15;210.618.460;16;152.571.162;31;363.189.622;332;412.050.992
78;60.889.128;BANCO SOFISA S.A.;663;160.634.206;655;58.277.407;73;15.666.895;396;17.113.870;1.787;251.692.378;19;22.061.124;49;130.087.392;68;152.148.516;1.855;403.840.894
79;16.944.141;BROKER BRASIL CORRETORA DE CÂMBIO LTDA.;196;7.018.943;3.519;117.199.142;1.209;20.085.279;3.110;43.686.220;8.034;187.989.584;4.760;153.759.490;766;19.993.803;5.526;173.753.293;13.560;361.742.877
80;33.466.988;BANCO CAIXA GERAL - BRASIL S.A.;7;13.137.828;29;12.229.560;57;42.177.025;293;58.304.532;386;125.848.945;19;123.006.465;17;96.494.570;36;219.501.035;422;345.349.980
81;76.641.497;DOURADA CORRETORA DE CÂMBIO LTDA.;556;52.794.963;2.311;71.850.652;2.539;16.676.456;4.255;26.038.163;9.661;167.360.235;2.423;73.340.326;825;44.891.752;3.248;118.232.078;12.909;285.592.313
82;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A;314;8.491.574;1.492;22.819.919;7.264;62.475.823;11.979;91.024.451;21.049;184.811.768;2.506;67.163.877;437;24.403.983;2.943;91.567.860;23.992;276.379.627
83;4.062.902;VISION S.A. CORRETORA DE CAMBIO;315;5.955.904;2.068;52.956.805;30.318;37.327.119;12.243;31.726.937;44.944;127.966.764;3.543;76.970.350;1.159;35.565.290;4.702;112.535.640;49.646;240.502.405
84;50.579.044;LEVYCAM - CORRETORA DE CAMBIO E VALORES LTDA.;143;5.948.275;3.137;85.006.344;921;15.265.409;2.586;27.606.933;6.787;133.826.962;2.366;96.777.922;274;5.373.672;2.640;102.151.594;9.427;235.978.556
85;7.237.373;BANCO DO NORDESTE DO BRASIL S.A.;98;27.632.429;99;14.502.621;73;7.237.517;147;54.615.915;417;103.988.482;46;80.765.947;67;46.386.618;113;127.152.564;530;231.141.047
86;4.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;;3.995;42.851.861;12.685;88.935.834;16.680;131.787.695;4.162;61.564.600;4.142;15.944.204;8.304;77.508.804;24.984;209.296.499
87;00.416.968;BANCO INTER S.A.;57;435.835;60;1.526.331;32.819;77.582.355;4.592;92.927.854;37.528;172.472.375;414;24.797.449;382;9.517.154;796;34.314.604;38.324;206.786.978
88;61.024.352;BANCO VOITER S.A.;269;53.506.012;461;30.983.552;214;17.953.789;1.336;52.910.464;2.280;155.353.817;166;33.550.795;15;5.062.587;181;38.613.382;2.461;193.967.199
89;11.495.073;OM DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;6;206.020;111;2.121.041;1.740;9.733.996;2.282;16.342.002;4.139;28.403.058;2.813;71.794.238;462;63.287.685;3.275;135.081.923;7.414;163.484.981
