Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado em NOVEMBRO / 2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
46;61.186.680;BANCO BMG S.A.; 7 ; 4.291.722 ; 1 ; 1.810.350 ; 3 ; 1.662.927 ; 41 ; 256.270.408 ; 52 ; 264.035.407 ; 3 ; 23.103.494 ; 3 ; 19.207.471 ; 6 ; 42.310.965 ; 58 ; 306.346.371 ;;;;
47;45.246.410;PLURAL S.A. BANCO MÚLTIPLO; 25 ; 2.673.367 ; 61 ; 5.466.405 ; 152 ; 35.779.044 ; 372 ; 133.566.019 ; 610 ; 177.484.836 ; 44 ; 107.606.262 ; 4 ; 7.022.533 ; 48 ; 114.628.795 ; 658 ; 292.113.631 ;;;;
48;03.609.817;BANCO CARGILL S.A.; 41 ; 42.256.936 ; 1 ; 100.000 ; 2 ; 15.048.125 ; 49 ; 4.697.741 ; 93 ; 62.102.802 ; 2 ; 100.000.000 ; 4 ; 106.000.000 ; 6 ; 206.000.000 ; 99 ; 268.102.802 ;;;;
49;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 205 ; 4.400.948 ; 614 ; 14.758.880 ; 13.743 ; 31.636.611 ; 2.843 ; 37.178.369 ; 17.405 ; 87.974.809 ; 1.815 ; 96.324.460 ; 255 ; 79.730.332 ; 2.070 ; 176.054.792 ; 19.475 ; 264.029.601 ;;;;
50;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 5 ; 110.924.884 ; 12 ; 1.638.119 ; 13 ; 2.231.355 ; 50 ; 898.849 ; 80 ; 115.693.207 ; 6 ; 2.010.968 ; 9 ; 112.729.561 ; 15 ; 114.740.530 ; 95 ; 230.433.737 ;;;;
51;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 10 ; 740.807 ; 14 ; 228.241 ; 9 ; 447.087 ; 40 ; 39.619.165 ; 73 ; 41.035.299 ; 10 ; 92.500.000 ; 6 ; 48.000.000 ; 16 ; 140.500.000 ; 89 ; 181.535.299 ;;;;
52;92.894.922;BANCO ORIGINAL S.A.; 17 ; 26.169.350 ; 9 ; 12.916.237 ; 45 ; 1.478.852 ; 181 ; 10.074.379 ; 252 ; 50.638.818 ; 4 ; 32.518.423 ; 8 ; 95.018.443 ; 12 ; 127.536.866 ; 264 ; 178.175.684 ;;;;
53;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 827 ; 54.057.172 ; 1.127 ; 34.547.666 ; 472 ; 5.352.484 ; 971 ; 25.365.780 ; 3.397 ; 119.323.102 ; 31 ; 27.922.766 ; 39 ; 29.047.685 ; 70 ; 56.970.451 ; 3.467 ; 176.293.553 ;;;;
54;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 181 ; 3.989.472 ; 1.757 ; 22.444.177 ; 1.758 ; 14.840.137 ; 3.899 ; 27.216.229 ; 7.595 ; 68.490.015 ; 596 ; 63.543.874 ; 188 ; 32.705.116 ; 784 ; 96.248.990 ; 8.379 ; 164.739.005 ;;;;
55;13.220.493;BR PARTNERS BANCO DE INVESTIMENTO S.A.; 10 ; 40.541.451 ; 23 ; 32.288.945 ; 5 ; 975.605 ; 58 ; 10.008.608 ; 96 ; 83.814.609 ; 11 ; 31.000.000 ; 6 ; 29.500.000 ; 17 ; 60.500.000 ; 113 ; 144.314.609 ;;;;
