Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Nov/2023;;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;
45;00.038.166;BANCO CENTRAL DO BRASIL; -   ; -   ; -   ; -   ; 22 ; 223.101.267 ; -   ; -   ; 22 ; 223.101.267 ; 4 ; 2.034.844.375 ; 4 ; 2.000.000.000 ; 8 ; 4.034.844.375 ; 30 ; 4.257.945.642 ;;
46;28.811.341;STONEX BANCO DE CÂMBIO S.A.; 819 ; 139.392.040 ; 735 ; 51.573.309 ; 45.222 ; 1.712.733.854 ; 2.463 ; 178.300.781 ; 49.239 ; 2.081.999.984 ; 771 ; 165.509.185 ; 1.935 ; 1.787.760.447 ; 2.706 ; 1.953.269.632 ; 51.945 ; 4.035.269.616 ;;
47;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 325 ; 627.099.802 ; -   ; -   ; 390 ; 134.371.532 ; 16 ; 764.724 ; 731 ; 762.236.058 ; 25 ; 780.000.000 ; 77 ; 2.419.092.303 ; 102 ; 3.199.092.303 ; 833 ; 3.961.328.361 ;;
48;00.360.305;CAIXA ECONOMICA FEDERAL; 1.246 ; 466.582.407 ; 954 ; 39.536.620 ; 80.414 ; 567.981.414 ; 32.849 ; 758.252.460 ; 115.463 ; 1.832.352.901 ; 1.637 ; 779.056.038 ; 1.776 ; 1.040.488.946 ; 3.413 ; 1.819.544.984 ; 118.876 ; 3.651.897.885 ;;
49;33.923.798;BANCO MASTER S/A; 840 ; 518.865.596 ; 1.848 ; 380.820.031 ; 28.723 ; 582.109.666 ; 4.062 ; 346.977.069 ; 35.473 ; 1.828.772.362 ; 221 ; 698.774.616 ; 305 ; 1.006.555.017 ; 526 ; 1.705.329.633 ; 35.999 ; 3.534.101.995 ;;
50;62.144.175;BANCO PINE S.A.; 384 ; 377.123.482 ; 1.858 ; 878.440.297 ; 174 ; 222.569.110 ; 3.526 ; 454.817.903 ; 5.942 ; 1.932.950.792 ; 223 ; 1.171.483.221 ; 137 ; 402.814.541 ; 360 ; 1.574.297.762 ; 6.302 ; 3.507.248.554 ;;
51;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.988 ; 63.549.585 ; 18.860 ; 445.350.654 ; 22.055 ; 627.334.664 ; 48.608 ; 846.490.053 ; 91.511 ; 1.982.724.956 ; 5.214 ; 890.416.095 ; 1.413 ; 289.511.019 ; 6.627 ; 1.179.927.114 ; 98.138 ; 3.162.652.070 ;;
52;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 47 ; 526.893.069 ; 72 ; 29.186.104 ; 28 ; 10.502.863 ; 132 ; 4.722.963 ; 279 ; 571.304.999 ; 85 ; 885.958.156 ; 126 ; 1.379.681.893 ; 211 ; 2.265.640.049 ; 490 ; 2.836.945.048 ;;
53;92.702.067;BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.; 4.112 ; 863.337.111 ; 4.284 ; 337.488.179 ; 5.476 ; 219.928.447 ; 6.748 ; 206.348.256 ; 20.620 ; 1.627.101.993 ; 284 ; 240.935.113 ; 569 ; 764.284.307 ; 853 ; 1.005.219.420 ; 21.473 ; 2.632.321.413 ;;
54;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 14 ; 932.258 ; 268 ; 7.798.880 ; 7.891 ; 893.311.049 ; 48.345 ; 1.164.547.211 ; 56.518 ; 2.066.589.398 ; 6.160 ; 407.579.079 ; 587 ; 130.739.997 ; 6.747 ; 538.319.076 ; 63.265 ; 2.604.908.474 ;;
