Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mai/2021;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
47;07.656.500;BANCO KDB DO BRASIL S.A.; 1 ; 7.000.000 ;;; 479 ; 75.465.475 ; 1.662 ; 598.312.260 ; 2.142 ; 680.777.735 ; 323 ; 601.265.824 ; 47 ; 175.180.000 ; 370 ; 776.445.824 ; 2.512 ; 1.457.223.560 ;
48;02.318.507;BANCO KEB HANA DO BRASIL S.A.; 5 ; 9.920.015 ; 186 ; 121.090.236 ; 246 ; 159.990.772 ; 444 ; 330.720.959 ; 881 ; 621.721.981 ; 206 ; 478.718.139 ; 38 ; 196.797.090 ; 244 ; 675.515.230 ; 1.125 ; 1.297.237.211 ;
49;33.657.248;BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL; 124 ; 242.410.014 ;;; 153 ; 58.835.822 ; 15 ; 537.991 ; 292 ; 301.783.828 ; 21 ; 484.012.550 ; 25 ; 434.560.445 ; 46 ; 918.572.995 ; 338 ; 1.220.356.823 ;
50;46.518.205;JPMORGAN CHASE BANK, NATIONAL ASSOCIATION;;;;; 101 ; 410.156.187 ; 45 ; 191.276.492 ; 146 ; 601.432.679 ; 27 ; 185.087.018 ; 72 ; 401.481.566 ; 99 ; 586.568.585 ; 245 ; 1.188.001.263 ;
51;00.360.305;CAIXA ECONOMICA FEDERAL; 542 ; 145.210.808 ; 367 ; 20.907.874 ; 42.502 ; 173.772.319 ; 2.371 ; 192.615.057 ; 45.782 ; 532.506.057 ; 878 ; 280.402.246 ; 975 ; 362.980.184 ; 1.853 ; 643.382.430 ; 47.635 ; 1.175.888.488 ;
52;15.114.366;BANCO BOCOM BBM S.A.; 59 ; 48.404.774 ; 254 ; 48.582.864 ; 120 ; 221.439.744 ; 785 ; 199.219.073 ; 1.218 ; 517.646.455 ; 23 ; 176.023.398 ; 52 ; 436.023.534 ; 75 ; 612.046.932 ; 1.293 ; 1.129.693.387 ;
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.185 ; 32.402.988 ; 9.539 ; 207.976.319 ; 7.944 ; 107.213.937 ; 16.662 ; 185.365.355 ; 35.330 ; 532.958.600 ; 2.752 ; 344.172.986 ; 666 ; 90.064.878 ; 3.418 ; 434.237.864 ; 38.748 ; 967.196.464 ;
54;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 3.765 ; 222.655.392 ; 3.607 ; 213.073.018 ; 2.401 ; 163.696.650 ; 1.705 ; 64.803.090 ; 11.478 ; 664.228.150 ; 71 ; 69.258.700 ; 30 ; 178.514.262 ; 101 ; 247.772.962 ; 11.579 ; 912.001.112 ;
55;73.622.748;B&T CORRETORA DE CAMBIO LTDA.; 981 ; 22.525.080 ; 4.733 ; 147.647.198 ; 26.214 ; 135.984.048 ; 13.748 ; 187.317.941 ; 45.676 ; 493.474.267 ; 3.298 ; 291.264.497 ; 1.215 ; 114.653.939 ; 4.513 ; 405.918.436 ; 50.189 ; 899.392.702 ;
56;03.609.817;BANCO CARGILL S.A.; 108 ; 145.417.278 ; 1 ; 19.588 ; 25 ; 26.108.957 ; 221 ; 137.401.261 ; 355 ; 308.947.085 ; 8 ; 270.000.000 ; 10 ; 305.000.000 ; 18 ; 575.000.000 ; 373 ; 883.947.085 ;
