Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Jan/2022;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
56;61.024.352;BANCO VOITER S.A.; 50 ; 16.666.712 ; 75 ; 15.213.020 ; 117 ; 13.313.971 ; 834 ; 71.913.760 ; 1.076 ; 117.107.463 ; 40 ; 60.763.801 ; 29 ; 3.466.868 ; 69 ; 64.230.669 ; 1.145 ; 181.338.132 ;
57;45.246.410;BANCO GENIAL S.A.; 38 ; 3.713.773 ; 20 ; 4.134.475 ; 253 ; 47.443.568 ; 367 ; 54.058.765 ; 678 ; 109.350.580 ; 19 ; 40.182.044 ; 6 ; 29.988.379 ; 25 ; 70.170.422 ; 703 ; 179.521.003 ;
58;10.690.848;BANCO DA CHINA BRASIL S.A.; 14 ; 27.568.506 ; 14 ; 5.365.497 ; 17 ; 178.234 ; 77 ; 38.300.263 ; 122 ; 71.412.500 ; 33 ; 61.090.773 ; 28 ; 45.158.891 ; 61 ; 106.249.664 ; 183 ; 177.662.164 ;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 107 ; 2.853.496 ; 1.041 ; 33.785.274 ; 494 ; 10.326.999 ; 1.416 ; 20.605.459 ; 3.058 ; 67.571.229 ; 854 ; 51.606.096 ; 35 ; 10.420.256 ; 889 ; 62.026.351 ; 3.947 ; 129.597.580 ;
60;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 11 ; 23.183.786 ; 21 ; 10.891.889 ; 7 ; 1.525.981 ; 63 ; 7.721.176 ; 102 ; 43.322.831 ; 10 ; 31.225.440 ; 14 ; 52.225.533 ; 24 ; 83.450.973 ; 126 ; 126.773.804 ;
61;30.723.886;BANCO MODAL S.A.; 8 ; 1.385.428 ; 47 ; 13.382.761 ; 97 ; 17.322.814 ; 157 ; 39.207.547 ; 309 ; 71.298.550 ; 4 ; 45.000.000 ; 1 ; 5.000.000 ; 5 ; 50.000.000 ; 314 ; 121.298.550 ;
62;61.186.680;BANCO BMG S.A.; 1 ; 900.000 ;;; 17 ; 423.283 ; 48 ; 3.786.439 ; 66 ; 5.109.723 ; 4 ; 61.595.445 ; 3 ; 50.900.000 ; 7 ; 112.495.445 ; 73 ; 117.605.168 ;
63;00.250.699;AGK CORRETORA DE CAMBIO S.A.; 149 ; 4.195.757 ; 832 ; 31.649.018 ; 441 ; 9.543.633 ; 612 ; 11.406.178 ; 2.034 ; 56.794.585 ; 477 ; 38.296.053 ; 72 ; 8.966.562 ; 549 ; 47.262.615 ; 2.583 ; 104.057.200 ;
64;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 124 ; 2.689.137 ; 1.272 ; 35.038.719 ; 344 ; 4.927.655 ; 1.087 ; 13.492.438 ; 2.827 ; 56.147.949 ; 564 ; 43.721.111 ; 24 ; 2.315.031 ; 588 ; 46.036.141 ; 3.415 ; 102.184.090 ;
65;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 83 ; 1.593.095 ; 733 ; 18.407.602 ; 1.788 ; 9.231.466 ; 1.649 ; 19.206.302 ; 4.253 ; 48.438.464 ; 2.355 ; 37.274.524 ; 325 ; 10.458.217 ; 2.680 ; 47.732.742 ; 6.933 ; 96.171.206 ;
