Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Abr/2019;;;;;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;;;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;;;;
55;23.522.214;COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO; 18 ; 49.421.749 ; 112 ; 91.379.300 ; 30 ; 11.318.806 ; 145 ; 102.688.723 ; 305 ; 254.808.578 ; 70 ; 248.163.376 ; 58 ; 146.678.204 ; 128 ; 394.841.580 ; 433 ; 649.650.159 ;;;;
56;62.144.175;BANCO PINE S.A.; 97 ; 72.263.357 ; 645 ; 74.206.169 ; 29 ; 105.418.778 ; 236 ; 130.517.622 ; 1.007 ; 382.405.927 ; 22 ; 175.958.320 ; 15 ; 87.659.294 ; 37 ; 263.617.615 ; 1.044 ; 646.023.541 ;;;;
57;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 804 ; 17.181.662 ; 6.409 ; 102.804.808 ; 6.933 ; 55.856.751 ; 16.369 ; 117.260.205 ; 30.515 ; 293.103.426 ; 2.226 ; 237.629.098 ; 709 ; 90.688.487 ; 2.935 ; 328.317.584 ; 33.450 ; 621.421.010 ;;;;
58;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 11 ; 97.481 ; 85 ; 1.126.218 ; 3.414 ; 148.117.538 ; 36.380 ; 261.358.448 ; 39.890 ; 410.699.685 ; 1.145 ; 161.450.767 ; 2.171 ; 48.717.695 ; 3.316 ; 210.168.462 ; 43.206 ; 620.868.147 ;;;;
59;07.679.404;BANCO TOPÁZIO S.A.; 34 ; 6.221.231 ; 13 ; 354.347 ; 222 ; 7.602.401 ; 1.024 ; 282.002.297 ; 1.293 ; 296.180.276 ; 817 ; 269.615.427 ; 12 ; 1.083.804 ; 829 ; 270.699.231 ; 2.122 ; 566.879.508 ;;;;
60;74.828.799;NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO; 58 ; 6.455.038 ; 108 ; 2.315.420 ; 54 ; 6.709.015 ; 195 ; 166.038.221 ; 415 ; 181.517.693 ; 45 ; 244.138.184 ; 26 ; 109.138.320 ; 71 ; 353.276.505 ; 486 ; 534.794.198 ;;;;
61;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 132 ; 2.325.007 ; 864 ; 11.703.949 ; 5.619 ; 39.842.446 ; 16.391 ; 207.385.339 ; 23.006 ; 261.256.741 ; 3.263 ; 177.050.427 ; 9 ; 235.226 ; 3.272 ; 177.285.654 ; 26.278 ; 438.542.394 ;;;;
62;59.118.133;BANCO LUSO BRASILEIRO S.A.; 193 ; 21.958.099 ; 962 ; 108.954.551 ; 255 ; 42.211.536 ; 560 ; 31.036.241 ; 1.970 ; 204.160.428 ; 928 ; 150.396.344 ; 340 ; 73.920.303 ; 1.268 ; 224.316.647 ; 3.238 ; 428.477.075 ;;;;
63;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 3.267 ; 36.443.832 ; 13.593 ; 204.613.282 ; 16.860 ; 241.057.114 ; 10.965 ; 168.030.789 ; 68 ; 1.962.996 ; 11.033 ; 169.993.785 ; 27.893 ; 411.050.899 ;;;;
64;00.460.065;COLUNA S/A DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS; 4 ; 8.550 ;;; 489 ; 608.254 ; 1.157 ; 3.370.985 ; 1.650 ; 3.987.789 ; 2.526 ; 203.594.256 ; 1.541 ; 200.840.717 ; 4.067 ; 404.434.973 ; 5.717 ; 408.422.762 ;;;;
65;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 166 ; 109.269.580 ; 1.448 ; 73.350.012 ; 321 ; 4.209.449 ; 258 ; 9.623.886 ; 2.193 ; 196.452.927 ; 555 ; 83.130.613 ; 144 ; 113.076.532 ; 699 ; 196.207.145 ; 2.892 ; 392.660.072 ;;;;
66;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 2.130 ; 94.406.527 ; 1.920 ; 56.881.018 ; 1.073 ; 36.394.840 ; 963 ; 71.232.924 ; 6.086 ; 258.915.309 ; 65 ; 65.206.825 ; 74 ; 62.923.993 ; 139 ; 128.130.818 ; 6.225 ; 387.046.126 ;;;;
67;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 421 ; 6.993.123 ; 4.409 ; 92.281.992 ; 2.233 ; 28.280.191 ; 8.052 ; 80.107.898 ; 15.115 ; 207.663.204 ; 5.055 ; 158.157.604 ; 119 ; 21.029.247 ; 5.174 ; 179.186.851 ; 20.289 ; 386.850.055 ;;;;
