Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Ago/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
46;03.609.817;BANCO CARGILL S.A.; 84 ; 211.628.004 ; 24 ; 21.852.203 ; 25 ; 39.819.835 ; 198 ; 74.757.044 ; 331 ; 348.057.086 ; 14 ; 529.000.000 ; 30 ; 916.000.000 ; 44 ; 1.445.000.000 ; 375 ; 1.793.057.086 
47;15.114.366;BANCO BBM S/A; 221 ; 149.507.965 ; 41 ; 3.443.443 ; 179 ; 358.220.242 ; 754 ; 321.627.684 ; 1.195 ; 832.799.335 ; 62 ; 429.542.126 ; 78 ; 526.549.687 ; 140 ; 956.091.813 ; 1.335 ; 1.788.891.148 
48;30.723.886;BANCO MODAL S.A.; 82 ; 87.648.618 ; 652 ; 90.211.969 ; 666 ; 510.251.725 ; 895 ; 188.116.305 ; 2.295 ; 876.228.617 ; 93 ; 240.173.636 ; 101 ; 562.866.154 ; 194 ; 803.039.790 ; 2.489 ; 1.679.268.407 
49;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 27 ; 88.830.104 ; 110 ; 19.626.779 ; 137 ; 108.456.884 ; 41 ; 743.675.827 ; 42 ; 813.179.015 ; 83 ; 1.556.854.842 ; 220 ; 1.665.311.726 
50;92.894.922;BANCO ORIGINAL S.A.; 180 ; 809.768.179 ; 283 ; 49.491.571 ; 412 ; 11.950.631 ; 1.749 ; 47.476.663 ; 2.624 ; 918.687.045 ; 77 ; 29.774.184 ; 65 ; 680.209.374 ; 142 ; 709.983.558 ; 2.766 ; 1.628.670.603 
51;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 76 ; 852.975 ; 399 ; 7.887.803 ; 5.638 ; 300.477.536 ; 28.917 ; 631.362.958 ; 35.030 ; 940.581.272 ; 6.383 ; 409.466.421 ; 3.569 ; 60.960.569 ; 9.952 ; 470.426.990 ; 44.982 ; 1.411.008.261 
52;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 56 ; 22.066.231 ; 766 ; 47.213.210 ; 789 ; 263.558.452 ; 1.444 ; 344.027.545 ; 3.055 ; 676.865.438 ; 1.020 ; 367.515.979 ; 414 ; 261.862.711 ; 1.434 ; 629.378.690 ; 4.489 ; 1.306.244.129 
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.694 ; 40.121.728 ; 13.504 ; 257.406.476 ; 13.280 ; 116.752.953 ; 34.861 ; 295.090.316 ; 63.339 ; 709.371.473 ; 6.163 ; 490.018.950 ; 1.167 ; 95.029.859 ; 7.330 ; 585.048.809 ; 70.669 ; 1.294.420.282 
54;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 692 ; 1.069.350 ; 1.761 ; 9.514.188 ; 2.453 ; 10.583.538 ; 4.902 ; 562.176.722 ; 2.794 ; 553.719.292 ; 7.696 ; 1.115.896.014 ; 10.149 ; 1.126.479.552 
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 315 ; 7.300.098 ; 1.760 ; 22.158.471 ; 11.070 ; 71.130.666 ; 43.388 ; 499.775.437 ; 56.533 ; 600.364.671 ; 10.098 ; 444.115.209 ; 40 ; 944.679 ; 10.138 ; 445.059.888 ; 66.671 ; 1.045.424.559 
56;15.357.060;BANCO WOORI BANK DO BRASIL S.A.; 23 ; 1.702.170 ; 399 ; 103.807.235 ; 620 ; 391.953.416 ; 1.047 ; 361.577.495 ; 2.089 ; 859.040.315 ; 244 ; 125.766.103 ; 58 ; 53.946.000 ; 302 ; 179.712.103 ; 2.391 ; 1.038.752.418 
57;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 662 ; 271.614.881 ; 740 ; 373.903.882 ; 1.402 ; 645.518.762 ; 250 ; 229.016.600 ; 145 ; 126.708.508 ; 395 ; 355.725.108 ; 1.797 ; 1.001.243.870 
58;04.913.129;CONFIDENCE CORRETORA DE CÂMBIO S.A.;;;;; 7.547 ; 72.800.845 ; 32.163 ; 483.328.406 ; 39.710 ; 556.129.251 ; 22.306 ; 415.427.033 ; 328 ; 6.172.124 ; 22.634 ; 421.599.157 ; 62.344 ; 977.728.409 
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 856 ; 15.698.516 ; 10.052 ; 213.187.791 ; 5.488 ; 71.243.160 ; 18.650 ; 216.265.803 ; 35.046 ; 516.395.271 ; 11.067 ; 371.663.104 ; 157 ; 28.932.756 ; 11.224 ; 400.595.860 ; 46.270 ; 916.991.131 
60;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 4.600 ; 240.073.269 ; 3.120 ; 90.605.688 ; 2.109 ; 65.045.995 ; 1.854 ; 187.021.203 ; 11.683 ; 582.746.155 ; 135 ; 135.071.500 ; 130 ; 173.780.926 ; 265 ; 308.852.426 ; 11.948 ; 891.598.582 
61;59.118.133;BANCO LUSO BRASILEIRO S.A.; 559 ; 91.132.430 ; 2.525 ; 229.484.677 ; 445 ; 63.893.133 ; 1.300 ; 57.697.131 ; 4.829 ; 442.207.371 ; 2.245 ; 289.402.341 ; 772 ; 156.748.177 ; 3.017 ; 446.150.518 ; 7.846 ; 888.357.889 
62;17.453.575;ICBC DO BRASIL BANCO MÚLTIPLO S.A.; 70 ; 244.160.036 ; 32 ; 15.422.135 ; 68 ; 133.953.333 ; 120 ; 21.071.583 ; 290 ; 414.607.087 ; 31 ; 42.143.324 ; 241 ; 382.056.850 ; 272 ; 424.200.174 ; 562 ; 838.807.261 
63;31.895.683;BANCO INDUSTRIAL DO BRASIL S.A.; 420 ; 237.534.675 ; 506 ; 31.631.670 ; 464 ; 23.521.094 ; 526 ; 20.726.584 ; 1.916 ; 313.414.023 ; 306 ; 157.025.690 ; 325 ; 360.447.440 ; 631 ; 517.473.130 ; 2.547 ; 830.887.153 
64;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 201 ; 2.859.533 ; 2.224 ; 41.363.566 ; 4.361 ; 48.150.254 ; 15.292 ; 178.827.651 ; 22.078 ; 271.201.004 ; 17.270 ; 343.573.872 ; 2.542 ; 174.403.122 ; 19.812 ; 517.976.994 ; 41.890 ; 789.177.997 
65;55.230.916;INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO; 43 ; 85.934.565 ; 209 ; 29.736.922 ; 167 ; 91.457.226 ; 305 ; 196.985.754 ; 724 ; 404.114.467 ; 138 ; 178.976.882 ; 82 ; 118.990.148 ; 220 ; 297.967.031 ; 944 ; 702.081.498 
