Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Set/2018;;;;;;;;;;;;;;;;;;;;
Rank ;Código Instit.; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) 
47;03.609.817;BANCO CARGILL S.A.; 122 ; 295.919.539 ; 28 ; 22.470.963 ; 33 ; 61.268.432 ; 245 ; 86.642.404 ; 428 ; 466.301.338 ; 14 ; 529.000.000 ; 33 ; 998.750.000 ; 47 ; 1.527.750.000 ; 475 ; 1.994.051.338 
48;30.723.886;BANCO MODAL S.A.; 93 ; 101.704.207 ; 702 ; 96.283.209 ; 745 ; 550.958.592 ; 979 ; 193.605.803 ; 2.519 ; 942.551.811 ; 110 ; 291.796.180 ; 122 ; 657.989.132 ; 232 ; 949.785.313 ; 2.751 ; 1.892.337.123 
49;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.;;;;; 29 ; 88.974.857 ; 117 ; 19.748.780 ; 146 ; 108.723.637 ; 44 ; 793.675.827 ; 45 ; 863.179.015 ; 89 ; 1.656.854.842 ; 235 ; 1.765.578.480 
50;92.894.922;BANCO ORIGINAL S.A.; 190 ; 822.638.055 ; 411 ; 58.871.174 ; 453 ; 11.974.263 ; 1.974 ; 62.882.442 ; 3.028 ; 956.365.934 ; 80 ; 34.944.184 ; 68 ; 725.209.374 ; 148 ; 760.153.558 ; 3.176 ; 1.716.519.492 
51;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.; 78 ; 883.325 ; 434 ; 8.371.799 ; 6.382 ; 336.323.574 ; 33.384 ; 683.598.521 ; 40.278 ; 1.029.177.219 ; 6.733 ; 432.481.827 ; 4.160 ; 73.053.019 ; 10.893 ; 505.534.847 ; 51.171 ; 1.534.712.065 
52;45.246.410;BRASIL PLURAL S.A. BANCO MÚLTIPLO; 69 ; 23.010.155 ; 811 ; 51.409.171 ; 960 ; 281.277.644 ; 1.863 ; 438.308.809 ; 3.703 ; 794.005.779 ; 1.191 ; 453.319.203 ; 440 ; 267.861.998 ; 1.631 ; 721.181.201 ; 5.334 ; 1.515.186.980 
53;92.856.905;ADVANCED CORRETORA DE CÂMBIO LTDA; 1.906 ; 45.718.914 ; 15.126 ; 284.169.032 ; 14.895 ; 129.370.022 ; 39.089 ; 323.563.041 ; 71.016 ; 782.821.008 ; 6.819 ; 543.163.582 ; 1.311 ; 110.928.448 ; 8.130 ; 654.092.030 ; 79.146 ; 1.436.913.038 
54;00.460.065;COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS;;;;; 798 ; 1.193.038 ; 1.971 ; 10.093.049 ; 2.769 ; 11.286.087 ; 5.364 ; 611.256.685 ; 3.097 ; 602.344.706 ; 8.461 ; 1.213.601.390 ; 11.230 ; 1.224.887.478 
55;17.354.911;COTACAO DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A; 345 ; 7.751.283 ; 1.948 ; 24.754.303 ; 12.334 ; 79.252.945 ; 47.305 ; 546.654.480 ; 61.932 ; 658.413.011 ; 11.068 ; 485.140.835 ; 47 ; 1.094.684 ; 11.115 ; 486.235.520 ; 73.047 ; 1.144.648.531 
56;00.997.185;BANCO BM&FBOVESPA DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.;;;;; 717 ; 306.989.402 ; 796 ; 396.601.713 ; 1.513 ; 703.591.115 ; 277 ; 247.980.600 ; 168 ; 158.291.343 ; 445 ; 406.271.943 ; 1.958 ; 1.109.863.057 
