Banco Central do Brasil;;;;;;;;;;;;;;;;;;;;;
Diretoria de Fiscalização - Depto de Monitoramento do Sistema Financeiro (Desig);;;;;;;;;;;;;;;;;;;;;
Mercado de Câmbio - Ranking Mensal das Instituições Financeiras;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Registros de câmbio contratado - Acumulado Jan-Mar/2023;;;;;;;;;;;;;;;;;;;;;
Rank ;CNPJ da Instituição; Nome da Instituição ; Exportação ;; Importação ;; Transferência do Exterior ;; Transferência p/ Exterior ;; Total do Primário ;; Interbancário - Compra ;; Interbancário - Venda ;; Total do Interbancário ;; Total ;;
;;; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ; Quant. ; Valor (US$) ;
56;01.181.521;BANCO COOPERATIVO SICREDI S.A.; 2.321 ; 105.480.536 ; 2.806 ; 146.980.885 ; 2.385 ; 53.015.246 ; 1.309 ; 82.360.139 ; 8.821 ; 387.836.807 ; 60 ; 107.466.040 ; 25 ; 39.612.979 ; 85 ; 147.079.019 ; 8.906 ; 534.915.826 ;
57;03.609.817;BANCO CARGILL S.A.; 7 ; 15.707.338 ;;; 7 ; 4.269.312 ; 233 ; 121.245.073 ; 247 ; 141.221.724 ; 12 ; 145.000.000 ; 3 ; 150.000.000 ; 15 ; 295.000.000 ; 262 ; 436.221.724 ;
58;00.416.968;BANCO INTER S.A.; 24 ; 1.284.320 ; 25 ; 374.171 ; 37.913 ; 209.352.023 ; 71.056 ; 152.218.965 ; 109.018 ; 363.229.479 ; 19 ; 3.730.353 ; 28 ; 67.967.788 ; 47 ; 71.698.141 ; 109.065 ; 434.927.620 ;
59;32.648.370;FAIR CORRETORA DE CAMBIO S.A.; 365 ; 10.768.749 ; 2.331 ; 82.901.459 ; 5.562 ; 40.836.613 ; 10.363 ; 77.248.302 ; 18.621 ; 211.755.123 ; 1.982 ; 163.181.866 ; 204 ; 54.538.101 ; 2.186 ; 217.719.967 ; 20.807 ; 429.475.090 ;
60;34.111.187;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A.; 10 ; 79.439.046 ; 10 ; 4.865.131 ; 6 ; 202.025 ; 29 ; 900.345 ; 55 ; 85.406.546 ; 18 ; 121.757.595 ; 25 ; 194.296.741 ; 43 ; 316.054.336 ; 98 ; 401.460.882 ;
61;13.728.156;WESTERN UNION CORRETORA DE CÂMBIO S.A.;;;;; 405.697 ; 133.918.656 ; 602.312 ; 175.863.214 ; 1.008.009 ; 309.781.870 ; 254 ; 58.614.616 ; 452 ; 18.948.978 ; 706 ; 77.563.594 ; 1.008.715 ; 387.345.464 ;
62;30.723.886;BANCO MODAL S.A.; 7 ; 3.298.700 ; 4 ; 481.975 ; 461 ; 171.300.122 ; 433 ; 81.673.350 ; 905 ; 256.754.148 ; 5 ; 15.003.026 ; 16 ; 114.333.791 ; 21 ; 129.336.817 ; 926 ; 386.090.964 ;
63;62.144.175;BANCO PINE S.A.; 59 ; 73.419.786 ; 304 ; 60.771.988 ; 44 ; 11.767.995 ; 605 ; 33.460.874 ; 1.012 ; 179.420.643 ; 30 ; 119.570.308 ; 38 ; 78.833.929 ; 68 ; 198.404.237 ; 1.080 ; 377.824.880 ;
64;02.992.317;TREVISO CORRETORA DE CÂMBIO S.A.; 36 ; 3.435.274 ; 216 ; 21.014.823 ; 23.464 ; 42.089.746 ; 40.306 ; 108.736.805 ; 64.022 ; 175.276.647 ; 10.588 ; 132.419.426 ; 1.154 ; 48.032.798 ; 11.742 ; 180.452.224 ; 75.764 ; 355.728.870 ;
65;71.677.850;FRENTE CORRETORA DE CÂMBIO S.A.; 3 ; 433.235 ; 15 ; 577.495 ; 1.817 ; 62.090.388 ; 7.909 ; 159.925.759 ; 9.744 ; 223.026.877 ; 1.584 ; 112.429.540 ; 33 ; 15.330.751 ; 1.617 ; 127.760.291 ; 11.361 ; 350.787.168 ;
66;60.770.336;BANCO ALFA DE INVESTIMENTO S.A.; 54 ; 60.374.801 ; 46 ; 22.888.128 ; 37 ; 3.136.569 ; 197 ; 56.246.978 ; 334 ; 142.646.476 ; 40 ; 114.479.668 ; 36 ; 88.957.627 ; 76 ; 203.437.295 ; 410 ; 346.083.770 ;
67;60.889.128;BANCO SOFISA S.A.; 505 ; 124.939.077 ; 211 ; 16.844.233 ; 53 ; 11.004.886 ; 308 ; 30.179.921 ; 1.077 ; 182.968.116 ; 26 ; 34.822.747 ; 47 ; 97.827.836 ; 73 ; 132.650.583 ; 1.150 ; 315.618.699 ;
68;24.074.692;GUITTA CORRETORA DE CAMBIO LTDA.; 41 ; 3.790.993 ; 644 ; 64.287.200 ; 1.475 ; 24.999.804 ; 6.024 ; 72.596.816 ; 8.184 ; 165.674.813 ; 1.309 ; 117.225.034 ; 102 ; 9.069.354 ; 1.411 ; 126.294.387 ; 9.595 ; 291.969.200 ;
69;45.246.410;BANCO GENIAL S.A.; 31 ; 1.757.583 ; 105 ; 8.362.573 ; 834 ; 98.138.279 ; 1.021 ; 131.639.673 ; 1.991 ; 239.898.107 ; 37 ; 45.030.259 ; 4 ; 5.224.590 ; 41 ; 50.254.850 ; 2.032 ; 290.152.957 ;
